gene_select	Gene2
PIK3CA	ANTXR1
PIK3CA	TRIM24
PIK3CA	APPL1
PIK3CA	TICAM1
PIK3CA	MMAB
PIK3CA	MRAS
PIK3CA	RASD2
PTEN	MAST1
PTEN	AKR1B1
PTEN	MAST2
PTEN	MAST3
PTEN	USP7
PTEN	NOP53
PTEN	PXDN
PTEN	MAGI2
PTEN	MVP
PTEN	COPS6
RB1	MORF4L2
RB1	CASP7
RB1	CEBPA
RB1	BNC2
RB1	PA2G4
RB1	PURA
RB1	KDM5A
RB1	BRF1
RB1	RNF40
RB1	MAPK9
RB1	VDR
RB1	TBP
RB1	SNAPC3
RB1	ARID3B
RB1	AKR1B1
RB1	MNAT1
RB1	SMARCB1
RB1	EID1
RB1	RFC1
RB1	HNF4A
RB1	FOS
RB1	RUNX2
RB1	CTBP1
RB1	AR
RB1	RBL2
RB1	SNW1
RB1	TP73
RB1	HDAC3
RB1	SMC2
RB1	LIN9
RB1	JUN
RB1	ZFP36L1
RB1	NOL3
RB1	CSK
RB1	PPIA
RB1	ENC1
RB1	MYOD1
RB1	CASP3
RB1	LMNA
RB1	LIN37
RB1	ZBTB16
RB1	RBL1
RB1	MAPK1
RB1	HBP1
RB1	RING1
RB1	CEBPD
RB1	DNMT1
RB1	SNAPC1
RB1	SP1
RB1	CREG1
RB1	L3MBTL1
RB1	ATF2
RB1	TFAP2A
RB1	PSMD10
RB1	RBBP4
RB1	LIN54
RB1	NDC80
RB1	PELP1
RB1	TMPO
RB1	SMC4
RB1	PRDM2
RB1	CDK9
RB1	TGM2
RB1	SUV39H1
RB1	CCNT2
RB1	KDM5B
RB1	CASP10
RB1	PRKCB
RB1	CASP9
RB1	GDNF
RB1	RBBP9
RB1	SPI1
RB1	ID2
RB1	PRKRA
RB1	NCAPD3
RB1	DNMT3A
RB1	NFIX
RB1	PPARG
RB1	SMARCA4
RB1	E4F1
RB1	PHB
RB1	KAT2B
RB1	MNDA
RB1	HIF1A
RB1	RBBP7
RB1	CCND1
RB1	NCAPH2
RB1	RBAK
RB1	E2F2
RB1	CBX1
RB1	GTF3C2
RB1	SP3
RB1	MCM7
RB1	CEBPE
RB1	CUX1
RB1	NCOA6
RB1	SERPINB2
RB1	CBX4
RB1	MRFAP1
RB1	ESR1
RB1	CCNA1
RB1	RBBP8
RB1	UBE2I
RB1	USP4
RB1	TFDP2
RB1	CBX5
RB1	BDP1
RB1	MITF
RB1	AATF
RB1	E2F3
RB1	SPIB
RB1	TOP2A
RB1	TRIM27
RB1	ARID4A
RB1	MDM4
RB1	SKP2
RB1	HMGB1
RB1	MORF4L1
RB1	PAX2
RB1	PIK3R1
RB1	KMT5B
RB1	RBBP5
RB1	HSPA8
RB1	TRIP11
RB1	NCAPG2
RB1	PIK3R3
RB1	BAG1
RB1	ELF1
RB1	THOC1
RB1	POLA1
RB1	FRK
RB1	UBTF
RB1	CASP2
RB1	KMT5C
RB1	DGKZ
RB1	TAF1
RING1	ELAC2
RING1	CBX4
RING1	CBX7
RING1	BMI1
RING1	CBX2
RING1	RYBP
RING1	CBX8
RING1	RNF2
RING1	FHL1
SDC4	FZD7
SDC4	TGFB1I1
SDC4	SDCBP
SDC4	CDCP1
SDC4	CXCR4
SDC4	FGF13
SDC4	GIPC1
SDC4	CASK
SDC4	FGF2
SDC4	CCL5
SDC4	MDK
SDC4	FGF6
SELP	EZR
SELP	AP1M1
SERPINB8	PRSS1
SERPINB8	FAM110A
SERPINB8	CAP1
SERPINB8	PCID2
SERPINB8	PRSS8
SPP1	PDLIM7
SPP1	PRKG1
SPP1	ITGA5
SPP1	MMP7
SPP1	ABCF3
SPP1	CTNNBL1
SPP1	UBQLN4
SPP1	MMP3
SPP1	ACP5
SPTBN2	UNC13B
SPTBN2	ANK2
SPTBN2	DYNLL2
SPTBN2	ACTR1A
STYXL1	ATXN10
STYXL1	RPS29
STYXL1	EHD4
STYXL1	DDOST
STYXL1	PSPH
TERT	YWHAQ
TERT	RUVBL1
TERT	RUVBL2
TERT	CIB1
TERT	RPS6KB1
TERT	SMG6
TERT	TEP1
TERT	XPO1
TERT	PINX1
TERT	NKX2-1
TERT	HSP90AA2P
TERT	SMG5
TERT	MCRS1
TGFA	GORASP1
TGFA	SNTA1
TGFA	SDCBP
TGFA	MAGI3
TGFA	ADAM10
TGFA	ELANE
TGFA	MAGI2
TGFA	ADAM17
TGFA	RHBDF1
TGFA	NKD2
TGFA	GORASP2
TGFBR2	STRAP
TGFBR2	OSR1
TGFBR2	SMURF2
TGFBR2	SRFBP1
TGFBR2	TGFBRAP1
TGFBR2	KCNK18
TGFBR2	EIF3I
TGFBR2	TGFBR3
TGFBR2	TSSK1B
TGFBR2	SNX6
TGFBR2	ARHGEF7
TGFBR2	CCNB2
VCAN	CCL21
VCAN	XCL1
VCAN	CXCL10
VCAN	HAPLN1
VCAN	CCL20
VCAN	FBLN2
VCAN	SELENOP
VCAN	FBLN1
VCAN	TNR
VCAN	CCL5
VCAN	SELP
VCAN	PLA2G2A
VCAN	CCL8
VCAN	CCL2
VLDLR	RELN
VLDLR	LCP1
VLDLR	OMA1
YWHAH	DENND4A
YWHAH	KIF1C
YWHAH	RASSF8
YWHAH	PFKFB2
YWHAH	BCAR1
YWHAH	TEAD3
YWHAH	ZFP36L2
YWHAH	VAMP8
YWHAH	RAB11FIP1
YWHAH	KLC2
YWHAH	DCAF7
YWHAH	KIF1B
YWHAH	MAP3K2
YWHAH	KLC1
YWHAH	MDM4
YWHAH	PTH1R
YWHAH	FAM53C
YWHAH	CDC25C
YWHAH	USP8
YWHAH	FOXO1
YWHAH	YWHAZ
YWHAH	CHRNA4
YWHAH	KLC3
YWHAH	EIF4E2
YWHAH	LARP1
YWHAH	RAB11FIP2
YWHAH	LMO7
YWHAH	GREM1
YWHAH	BAIAP2
YWHAH	AFDN
YWHAH	PIAS2
YWHAH	MST1R
YWHAH	TPH1
YWHAH	TRIP11
YWHAH	PDK1
YWHAH	IRS2
YWHAH	PIK3CA
YWHAH	KLC4
YWHAH	CDK14
YWHAH	RASGRF1
YWHAH	HDAC4
YWHAH	CDK18
YWHAH	PDZD11
YWHAH	MARK2
YWHAH	LIMA1
YWHAH	MAML2
YWHAH	RPH3A
YWHAH	KIF5B
YWHAH	TBC1D4
YWHAH	SRGAP2
YWHAH	SHROOM2
YWHAH	PKP2
YWHAH	CEP250
YWHAH	NRIP1
YWHAH	MARK4
YWHAH	KSR1
YWHAH	KIF23
YWHAH	REEP1
YWHAH	NADK
YWHAH	CRTC1
YWHAH	ING1
YWHAH	MAST3
YWHAH	KCNK9
YWHAH	SIK3
YWHAH	CLASP2
YWHAH	RIMS2
YWHAH	ZFP36
YWHAH	REM1
YWHAH	CLASP1
YWHAH	KCNH2
YWHAH	TIAM1
YWHAH	LSR
YWHAH	EPB41L3
YWHAH	PTPN14
YWHAH	TBC1D1
YWHAH	TLX2
YWHAH	ARHGEF28
YWHAH	KCNK15
YWHAH	OSBPL3
YWHAH	MAST2
YWHAH	RIMS1
YWHAH	HDAC7
YWHAH	PAK4
YWHAH	ADAM22
YWHAH	YWHAQ
YWHAH	TNFAIP3
YWHAH	SIK1
ZNF8	TRAK1
ZNF8	LRP1
ZNF8	DLK1
ZNF8	CRELD2
ZNF8	DCTN1
ZNF8	CCND1
ZNF8	FAM193A
ZNF8	MTMR4
ZNF8	FBLN1
ZNF8	THBS1
ZNF8	FBN2
ZNF8	NOTCH2
