ACVRL1	ACVR2B
ACVRL1	FKBP1A
ADA	GRB2
ADAM10	EFNA1
ADAM10	TGFA
ADAM10	AXL
ADAM12	GRB2
ADAM12	IGFBP5
ADAM12	ACTN2
ADAM12	EGF
ADAM12	PIK3R1
ADAM12	SRC
ADAM12	YES1
ADAM15	SH3GL2
ADAM15	FYN
ADAM15	MAD2L2
ADAM15	GRB2
ADAM15	LCK
ADAM15	ABL1
ADAM15	SRC
ADAM15	HCK
ADAM17	ERBB4
ADAM17	DLG1
ADAM17	MAPK1
ADAM17	MAD2L1
ADAM17	FHL2
ADAM17	TGFA
ADAM17	MAD2L2
ADAM17	NOTCH1
ADAM17	TNF
ADAM17	PTPN3
ADAM19	SH3GL2
ADAM19	NRG1
ADAM19	UBC
ADAM19	COPB1
ADAM2	CD9
ADAM22	DLG4
ADAM22	YWHAZ
ADAM22	YWHAB
ADAM22	ABI2
ADAM22	LLGL1
ADAM22	YWHAQ
ADAM22	YWHAH
ADAM23	DLG4
ADAM23	PRNP
ADAM28	TLN1
ADAM33	UBQLN4
ADAM9	ITGA3
ADAM9	SNX9
ADAM9	ITGAV
ADAM9	SH3GLB1
ADAM9	PRKCD
ADAM9	ITGA6
ADAM9	MAD2L2
ADAM9	SH3GL2
ADAM9	TNF
ADAMTS1	VEGFA
ADAMTS13	VWF
ADAMTS4	BCAN
ADAMTS4	FURIN
ADAMTS4	FN1
ADAMTS4	SERPINA3
ADAMTS4	ACAN
ADAMTS4	SERPINA1
ADAMTS5	MMP13
ADAMTS5	ACAN
ADAP1	ANP32A
ADAP1	PRKCE
ADAP1	AP3B2
ADAP1	PIK3CA
ADAP1	PSME3
ADAP1	CSNK1A1
ADAP1	RPS9
ADAP1	PRKCA
ADAP1	PRKD1
ADAP1	PURA
ADAP1	SUB1
ADAP1	NCL
ADAP1	PRKCI
ADAP1	IFRD1
ADAP1	SF3A3
ADAR	XPO1
ADAR	HDLBP
ADARB2	SUMO1
ADAT3	ADAT2
ADCK1	RAB1A
ADCY1	GNAI3
ADCY1	GNAS
ADCY1	GNAI1
ADCY1	ADCY2
ADCY1	GNAI2
ADCY1	GNAZ
ADCY10	SSTR5
ADCY10	PTGIR
ADCY10P1	RECQL5
ADCY2	GNAI2
ADCY2	GNAS
ADCY3	CAMK2G
ADCY3	GNAI1
ADCY3	GNAI3
ADCY3	GNAI2
ADCY3	STOML3
ADCY3	GNAZ
ADCY4	GNAI1
ADCY4	GNAI3
ADCY4	GNAZ
ADCY4	GNAI2
ADCY5	RGS2
ADCY5	PRKCA
ADCY5	GNAI2
ADCY5	ADCY2
ADCY5	GNB2
ADCY5	PRKACA
ADCY5	GNAS
ADCY6	GNAS
ADCY6	RAF1
ADCY6	GNB2
ADCY6	GNAI2
ADCY7	GNAZ
ADCY7	GNAI2
ADCY7	GNAI3
ADCY7	PRKCD
ADCY7	GNAI1
ADCY8	PPP2CA
ADCY8	GNAI1
ADCY8	CFTR
ADCY8	GNAZ
ADCY8	GNAI2
ADCY8	CALM1
ADCY8	GNAI3
ADCY9	GNAI3
ADCY9	GNAI2
ADCY9	GNAI1
ADCY9	GNAZ
ADCYAP1	CASP2
ADCYAP1	MME
ADCYAP1R1	CALM1
ADCYAP1R1	ADCYAP1
ADD1	SPTA1
ADD1	PRKACA
ADD1	SPTAN1
ADD1	HSPH1
ADD1	ROCK1
ADD1	PRKCD
ADD2	PRKCD
ADD2	ADD1
ADD2	SPTAN1
ADD2	FYN
ADD2	PRKACA
ADD3	PRKCA
ADGRA2	DLGAP5
ADGRA2	DLG1
ADGRA3	DLG1
ADGRB2	TLN1
ADGRB2	STARD13
ADGRB2	ARHGAP1
ADGRE5	CD55
ADGRL1	DLG4
ADGRL2	SHANK2
ADH5	CHD3
ADI1	OSTF1
ADI1	MMP14
ADIPOR1	APPL1
ADIPOR1	ADIPOR2
ADIPOR2	ADIPOQ
ADM	EDN1
ADM	MME
ADNP	PLCG1
ADORA1	GNB2
ADORA1	ADA
ADORA1	GNG11
ADORA1	GNAS
ADORA1	GNAI2
ADORA2B	SLC9A3R2
ADORA2B	GNG2
ADORA2B	GNG12
ADORA2B	DCC
ADORA2B	GNB1
ADORA2B	GNG13
ADORA2B	GNGT2
ADORA2B	GNG11
ADORA2B	GNGT1
ADORA2B	GNG4
ADORA2B	ADA
ADORA2B	GNG5
ADORA2B	GNG3
ADORA2B	GNB2
ADPGK	UBQLN4
ADPGK	TADA3
ADPGK	GDF9
ADPRHL2	FRA10AC1
