prestige	stresscent	gilschmidt
1900	4	159611	0.245475376773424
1901	10	411898	0.282194730693431
1902	2	34	0.234443601680873
1903	5	126636	0.262743021045823
1904	4	4228	0.269894160520288
1905	5	13	0.251662278483939
1906	13	114495	0.270486419882226
1907	10	220194	0.268299884337948
1908	1	0	0.212381407667029
1909	8	83340	0.256374779864329
1910	11	21581	0.255353873515702
1911	7	118576	0.267268806704894
1912	4	164743	0.205051931672234
1913	9	262698	0.284706456731336
1914	6	94421	0.264403991793209
1915	32	198588	0.29880908789731
1916	4	63396	0.25213626033837
1917	140	7767932	0.354664551039485
1918	27	472805	0.306415174393917
1919	14	157689	0.299358918472773
1920	6	13465	0.226092395947763
1921	1	0	0.170272580735782
1922	5	168985	0.277755982168268
1923	3	194755	0.2034841492641
1924	5	16469	0.258452773273334
1925	41	930054	0.30140102177815
1926	2	1399	0.233478782700676
1927	21	272343	0.29755249835804
1928	2	0	0.257783648061917
1929	1	0	0.192605621523625
1930	29	717178	0.324550865140372
1931	6	17584	0.282277554009501
1932	1	0	0.225509436045872
1933	15	442337	0.25077912038731
1934	1	0	0.217498968341159
1935	2	70959	0.252720237368703
1936	2	0	0.21743663289801
1937	2	2988	0.243482967457692
1938	4	24112	0.267437068810175
1939	8	7424	0.262279501083952
1940	18	196171	0.291142554910385
1941	47	374282	0.30074105072272
1942	6	26839	0.239471994094836
1943	5	16160	0.260810477004162
1944	2	0	0.241429675739443
1945	23	61615	0.267057970509069
1946	6	37339	0.257785391710677
1947	6	40139	0.273399185134795
1948	5	15467	0.265189650863381
1949	2	4588	0.24175443032088
1950	56	663655	0.296189546244448
1951	5	19210	0.25057031844837
1952	6	12431	0.261792005951636
1953	6	83340	0.24125560147163
1954	16	35838	0.262958361667607
1955	1	0	0.247821892091377
1956	6	3698	0.253101515230756
1957	1	0	0.22937001970323
1958	4	56700	0.238316245575485
1959	1	0	0.24594354646532
1960	6	8197	0.276968434145274
1961	3	4464	0.240378255537529
1962	5	9937	0.272379150610549
1963	4	26541	0.274881867796532
1964	21	946629	0.318506216107807
1965	6	43611	0.271351269666888
1966	17	275338	0.286970003429155
1967	6	38681	0.275621756086769
1968	3	90040	0.217294816132246
1969	2	584	0.234262843426149
1970	2	3724	0.25189461968113
1971	29	16995	0.271762480165976
1972	4	21670	0.237489901367596
1973	1	0	0.225242076569431
1974	32	156083	0.281633566401029
1975	22	203725	0.281622523292221
1976	56	431138	0.304925226529011
1977	5	1360	0.23663711182019
1978	7	113719	0.230855172534044
1979	13	79350	0.240238327724589
1980	7	35957	0.263238943813808
1981	7	2669	0.259014082869795
1982	2	119742	0.207251205539393
1983	8	24268	0.233031924271395
1984	60	919889	0.3077255264366
1985	26	338862	0.300267359476417
1986	12	121429	0.280398191255002
1987	2	282	0.239731797759984
1988	2	1354	0.226229708287564
1989	31	286102	0.304019691606636
1990	6	21879	0.274389287022002
1991	7	67782	0.283960175062316
1992	21	344932	0.291883896241253
1993	3	15865	0.259051426014061
1994	1	0	0.186761976445262
1995	7	193434	0.2487612828605
1996	3	21343	0.241868348706493
1997	10	95608	0.240791064381316
1998	3	9961	0.239081416772731
1999	14	239949	0.305371310003293
2000	11	6408	0.255679935833709
2001	23	364431	0.285881675995167
2002	1	0	0.159372838602059
2003	24	260429	0.295437743021023
2004	10	12088	0.257331171208855
2005	30	1155078	0.310346230521969
2006	30	848085	0.300188895282247
2007	2	132	0.243297559472942
2008	46	462716	0.269644818747693
2009	7	118447	0.281245895160193
2010	2	0	0.215880135772126
2011	6	575	0.258046212504269
2012	55	3025166	0.340227720527955
2013	77	1440017	0.317021789797307
2014	12	258769	0.279168628271502
2015	44	727413	0.30097644330524
2016	11	37635	0.272626458126256
2017	3	208577	0.231166995053847
2018	8	82837	0.274570045276726
2019	122	6784593	0.356888284423968
2020	29	802596	0.285431524007118
2021	1	0	0.229640430565
2022	14	282735	0.259347119782843
2023	58	738949	0.270914776260785
2024	2	2326	0.23294072175434
2025	105	4203014	0.344276182339142
2026	1	0	0.21889199839585
2027	19	405421	0.299157817649192
2028	51	203176	0.309436336477694
2029	21	85140	0.279110797254314
2030	4	15086	0.261119248138639
2031	1	0	0.20126758421341
2032	33	153265	0.284417882861657
2033	4	9312	0.252422799951164
2034	56	2092561	0.311966080219448
2035	27	33948	0.271784421079532
2036	6	30378	0.279242152127523
2037	23	458709	0.305117318500674
2038	18	13808	0.283262134342304
2039	15	81631	0.276373268702068
2040	3	591	0.240460352333284
2041	63	3265123	0.33966800927619
2042	5	21244	0.242703556462244
2043	9	140808	0.265816783200509
2044	12	179616	0.283729432209825
2045	7	148399	0.218924788679465
2046	16	270190	0.305269597158993
2047	26	6342	0.230474621192307
2048	9	91447	0.275308480526332
2049	25	97738	0.257622360551673
2050	13	250322	0.268995890801074
2051	5	13820	0.243209505210594
2052	12	137122	0.261803339668574
2053	10	3802	0.239313467361797
2054	4	1728	0.244158631351955
2055	22	402071	0.252381242989066
2056	5	9863	0.248602029607141
2057	2	2466	0.179167950185901
2058	7	95816	0.250238298663769
2059	41	430481	0.281805897020084
2060	35	951091	0.300255444543231
2061	9	88861	0.287669206581674
2062	5	13828	0.267915264482439
2063	1	0	1
2064	25	564210	0.286621273677277
2065	19	45169	0.26969247848045
2066	28	564134	0.300122636629391
2067	32	534696	0.280404729937849
2068	18	273739	0.280998297036361
2069	24	224453	0.284973961511838
2070	2	3471	0.244170546285145
2071	11	52910	0.281202594549335
2072	6	30117	0.262738080707672
2073	76	2605832	0.335087153377134
2074	1	0	0.239604366096485
2075	11	161456	0.264676291607802
