gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank	ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity	zi	pc	gc	prestige	stresscent	gilschmidt
ATG10	4.79033598480351	1	0.000119	12	0	1.5e-05	0	0	3.1e-05	0	1711.295238	9.59067237007341e-06	1711.29523809524	314.841796875	0	13	1	1	0	191	26	-0.846153846153846	1663.61617388287	3557	1	NA	2	1	8.6516113294706e-05	1	9	1	180753145685210	NA	-0.306522501549305	0	2.63475476406372e-05	1	0	0.208872847320315
ATG12	3.81776089279354	12	0.001425	16.5	16660.31098	0.000826	0	0	0.000185	37814.729837	2187.117857	3.76114109812941e-05	2187.11785714286	628.18359375	0	210	6	1	8	2282	552	0.181882545930278	2087.42261404982	99300	0.0865921787709497	0	13	5	0.00475985198153321	0.0833333333333334	8	12	541699753777537280	0	0.715219170281713	0.777777777777778	0.777946137101462	12	165544	0.266949573677861
ATG13	4.30761011516087	2	0.000237	19	0	4.3e-05	1	1	4.3e-05	0	1913.208333	1.62794264704437e-05	1913.20833333333	440.27734375	1.57142857142857	40	2	2	0	719	82	-0.717171717171717	1850.0468263374	17555	0.542857142857143	40	3	2	0.000252014224621113	0.592919790184544	8	3	1454003540101793	1	-0.45422477526202	0	0.000231869351932534	2	0	0.233517433581509
ATG14	5.68799715065891	1	0.000119	4	0	0	0	0	4.6e-05	0	1430.145238	6.85452483383488e-06	1430.14523809524	167.755859375	0	5	1	1	0	16	10	-0.6	1401.0696931747	321	1	NA	2	1	5.55439487815767e-07	1	9	1	7211961518.1415	NA	-0.577350269189626	0	0.000247834265498126	1	0	0.174556967911054
ATG16L1	3.77585183426333	5	0.000594	47.8	2442.549046	0.000783	0.1	1	7.3e-05	5734.014537	2208.927381	2.90742779024955e-05	2208.92738095238	644.08984375	0	244	5	2	0	2422	508	-0.628794190042904	2110.59140359703	120851	0.217511520737327	24.4	6	5	0.00458202165709002	0.204775093566839	8	6	480149085264141696	0.1	-0.299680485449523	0.56	0.56000882908065	5	28839	0.269611544117202
ATG3	4.30701650243381	5	0.000594	12	734.044355	0.000131	0.4	4	8.9e-05	2420.154978	1916.763095	2.59316295110996e-05	1916.7630952381	442.72265625	1	65	5	5	0.068033073723357	724	150	-0.248853107676637	1850.30180825845	19464	0.25	26	6	4	0.000768082941058052	0.320704988662131	8	9	13492438866988152	0.4	0.9298956298171	0.32	0.320339469538137	5	10278	0.233951311514472
ATG4B	4.44414104238395	3	0.000356	16.666667	279.213507	2.4e-05	0	0	5.7e-05	596.216537	1852.611905	2.13975543356674e-05	1852.6119047619	401.0703125	0	53	3	1	0	461	112	-0.648304383788255	1793.21050944354	13493	0.382113821138211	0	4	3	0.000137809579449456	0.333333333333333	8	3	434381585924062	0	-0.398526698493043	0.444444444444444	0.444577799396673	3	3821	0.226121311456356
ATG5	3.643001305948	10	0.001187	27.1	6732.931299	0.003017	0	0	0.000123	15178.851785	2293.22619	3.74733838666699e-05	2293.22619047619	704.1171875	0	281	8	1	7	3116	652	-0.151737043998379	2187.5590353593	185372	0.107407407407407	0	11	6	0.0176662343994398	0.1	7	10	7138668414948124672	0	-0.189437458853304	0.78	0.780002419785392	10	76760	0.279900670142322
ATG7	3.67101982666508	8	0.00095	68.75	19778.219147	0.005814	0.178571	5	0.000118	36505.072885	2285.810714	3.32101850208504e-05	2285.81071428571	699.73828125	2.24324324324324	558	7	5	0.068033073723357	2932	1172	-0.263300890609147	2170.86281168138	367376	0.19663323782235	99.6428571428571	9	5	0.0340429794357752	0.183310795799937	8	13	26506917005973155840	0.178571428571429	0.9298956298171	0.65625	0.661015634872648	8	257748	0.278995571132131
ATIC	3.78748664371364	7	0.000831	29.714286	10101.120663	0.000759	0	0	1e-04	22881.695234	2201.641667	3.18821659338776e-05	2201.64166666667	638.62109375	0	215	6	1	2	2375	472	-0.181800838171158	2104.10786157608	103680	0.145021645021645	0	8	5	0.00443562497451173	0.142857142857143	8	7	449978092318967552	0	-0.189437458853304	0.612244897959184	0.612252154454111	7	101051	0.268722283249912
ATL1	4.74937670663659	1	0.000119	7	0	3e-06	0	0	3.3e-05	0	1722.75	8.95601964127943e-06	1722.75	320.326171875	1	8	1	1	0	177	16	-0.75	1677.96342865713	3364	1	NA	2	1	2.0247449035827e-05	1	9	1	9380183278777.11	NA	-0.577350269189626	0	0.000269929315400153	1	0	0.210270963017222
ATM	3.43120028493411	44	0.005224	24.568182	51618.558954	0.001443	0.10148	96	0.000431	102894.238955	2465.9	5.05442425015294e-05	2465.9	826.6328125	1	1125	22	38	0.223117239447747	4166	4142	0.35220662434437	2322.59260925227	621903	0.0450778503264691	114.164904862579	45	12	0.00839302239610576	0.0347027392896693	7	140	1620848907007959296	0.101479915433404	2.25699495928564	0.539256198347107	0.539702111299641	44	727413	0.30097644330524
ATMIN	4.29573786061973	1	0.000119	46	0	3.5e-05	0	0	2.6e-05	0	1920.504762	1.02705512332986e-05	1920.50476190476	445.5703125	0	47	1	1	0	741	94	-0.957446808510638	1855.15985407512	24556	1	NA	2	1	0.000205706545183773	1	8	1	973045804987382	NA	-0.983818315586047	0	3.08383102221033e-06	1	0	0.234408002185369
ATN1	3.48949305473109	46	0.005462	12	207218.078314	0.000602	0.005797	6	0.00075	422950.244591	2423.354762	4.94544568911927e-05	2423.35476190476	795	1	598	13	5	0.136066147446714	3807	3266	0.659294310777874	2283.79317501361	245061	0.0251099169516365	3.46666666666667	47	8	0.00351461808716766	0.0242326531241168	8	52	282614450276585664	0.00579710144927536	1.0232358337051	0.852551984877127	0.852560493582794	46	1937325	0.295783566691637
ATOH1	4.25240413154458	1	0.000119	39	0	3.2e-05	0	0	2.9e-05	0	1939.409524	1.0205156100242e-05	1939.32619047619	457.6328125	0	40	1	1	0	835	80	-0.95	1874.06468814563	23132	1	NA	2	1	0.000186999593812739	1	8	1	812960188363967	NA	-0.520166538641961	0	9.47988990862569e-07	1	0	0.236705259425868
ATOX1	4.47821441291701	2	0.000237	7.5	24570	1e-05	0	0	7.6e-05	49140	1832.572619	9.73017075086827e-06	1832.57261904762	387.41796875	0	17	2	1	0	379	36	-0.366666666666667	1779.5665164369	8595	0.5	0	3	1	6.05335545911468e-05	0.5	8	2	84308582196332.8	0	0	0.5	0.50086301066287	2	206283	0.223675408159117
ATP12A	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1	1.52913150917951e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	0	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ATP1A1	3.45043333729075	11	0.001306	52	25887.892644	0.000746	0.018182	1	0.000148	51075.979937	2431.352381	3.88302442665803e-05	2431.35238095238	804.3828125	1	583	9	2	0	4019	1276	-0.353667837327903	2309.64625124729	328493	0.106628787878788	10.6	12	8	0.00435438800028861	0.0913456385190479	7	12	434287557436462976	0.0181818181818182	-0.189437458853304	0.710743801652893	0.710781396147281	11	294729	0.296759719388772
ATP1A2	4.73762317464086	2	0.000237	4	171.654253	3e-06	0	0	5.3e-05	724.262258	1726.984524	1.30084230875222e-05	1726.98452380952	322.56640625	0	10	2	1	0	166	22	-0.25	1682.12627490289	3664	0.5	0	3	2	2.03887355522612e-05	0.5	8	2	9534270916467.17	0	0	0.5	0.500137683744661	2	1319	0.210787809570319
ATP1A3	5.39510863112905	1	0.000119	3	0	0	0	0	4.1e-05	0	1509.370238	7.04466502329845e-06	1509.37023809524	204.41015625	0	4	1	1	0	38	8	-0.5	1477.13066918997	499	1	NA	2	1	2.77780921525394e-06	1	9	1	180361621984.212	NA	0	0	-Inf	1	0	0.184226808018477
ATP1A4	4.00534251454351	4	0.000475	28	5332.254305	8.4e-05	0	0	8.5e-05	14167.889644	2070.022619	2.24346705901171e-05	2070.02261904762	545.98046875	0	116	3	1	0	1486	244	-0.339958913997002	1989.66265524498	56196	0.254716981132075	0	5	2	0.000491661687160376	0.25	8	4	5534470770459065	0	0	0.75	0.751188803289068	4	54431	0.252657466013365
ATP1B1	4.42253353911908	3	0.000356	12.666667	8352.235706	2.6e-05	0	0	8.2e-05	16899.949426	1862.240476	1.55590949533374e-05	1862.24047619048	407.3203125	0	41	3	1	0	490	88	-0.158730158730159	1801.97173230249	12926	0.333333333333333	0	4	2	0.00015282656830699	0.333333333333333	8	3	543724549236795	0	0	0.666666666666667	0.778110271856556	3	82815	0.227296530720186
ATP1B2	4.42051525584709	3	0.000356	5.333333	8223.102318	1.5e-05	0	0	8.4e-05	16565.14553	1858.984524	1.51361888053134e-05	1858.98452380952	404.39453125	0	19	3	1	0	492	44	-0.0714285714285714	1802.79446205081	10696	0.393939393939394	0	4	2	8.81119716854591e-05	0.333333333333333	8	3	177879350574738	0	0	0.666666666666667	0.666875061283546	3	84452	0.226899124107108
ATP1B3	4.50718271399739	2	0.000237	17.5	1000.469806	2.5e-05	0	0	5.1e-05	2699.556069	1827.697619	1.37672500418775e-05	1827.69761904762	386.3046875	0	37	2	1	0	435	76	-0.442857142857143	1768.1289906227	11888	0.5	0	3	2	0.000147522452153796	0.5	8	2	505958560060523	0	0	0.5	0.501125016098047	2	8429	0.223080388019975
ATP1B4	4.27175590644663	1	0.000119	77	0	0.000456	0	0	2.3e-05	0	1940.511905	1.03532358141231e-05	1940.5119047619	460.6875	0	78	1	1	0	926	156	-0.974358974358974	1865.57485895334	48945	1	NA	2	1	0.00260525263608571	1	8	1	173475403976328160	NA	-1.00585892961019	0	8.43230279490292e-07	1	0	0.236849982272899
ATP2A1	4.23791998100439	1	0.000119	45	0	0.000362	0	0	2.7e-05	0	1943.453571	1.02587531109304e-05	1943.45357142857	459.51953125	0	46	1	1	0	780	92	-0.956521739130435	1880.46977252353	28712	1	NA	2	1	0.00212262747090474	1	8	1	103068335029323184	NA	-0.520166538641961	0	7.06996413857297e-07	1	0	0.23720902861327
ATP2A2	3.79591594443785	4	0.000475	43.75	4743.412085	0.000238	0	0	6.6e-05	10819.387062	2187.191667	2.59384497321106e-05	2187.19166666667	627.30078125	0	179	4	1	0	2220	370	-0.708579752269073	2099.43542989397	88148	0.252958579881657	0	5	4	0.00139302204417221	0.25	8	4	44387478932570776	0	-0.670717934764565	0.625	0.625108745645749	4	43923	0.266958582529786
ATP2A3	3.87629110768135	4	0.000475	48	2750.931944	8.8e-05	0	0	6.3e-05	6537.387319	2147.439286	2.64288161055545e-05	2147.43928571429	600.33984375	0	196	4	1	0	1948	404	-0.813346013779835	2055.90349157734	83719	0.252688172043011	0	5	4	0.000512100868196974	0.25	8	4	6003839615430895	0	-0.520166538641961	0.625	0.625008762468456	4	24277	0.262106589248644
ATP2B1	3.98694052000475	1	0.000119	94	0	0.000151	0	0	2.9e-05	0	2077.77381	1.03619712859764e-05	2077.77380952381	551.6875	0	95	1	1	0	1594	190	-0.978947368421053	1998.84607825621	55246	1	NA	2	1	0.000880411136046643	1	8	1	17732653647000124	NA	-0.520166538641961	0	3.93769334661176e-06	1	0	0.253603540769398
ATP2B2	4.31366496497685	2	0.000237	41	45.167409	2.2e-05	0	0	4.3e-05	132.960772	1915.614286	1.65224836343696e-05	1915.61428571429	442.6640625	0	84	2	1	0	722	170	-0.751803751803752	1847.4500192657	27699	0.533333333333333	0	3	2	0.000127987690964996	0.5	8	2	374655431944487	0	-0.374923515731115	0	0.000103806692462571	2	991	0.233811093093405
ATP2B4	3.81016264988721	5	0.000594	57.4	2329.409672	0.000121	0.1	1	7.9e-05	5146.926574	2188.666667	2.90757442575124e-05	2188.66666666667	629.1796875	0	292	5	2	0	2146	604	-0.671991210277214	2091.58536129374	132148	0.231836734693878	29.2	6	5	0.000706476747250122	0.205395107417667	7	6	11419489686552274	0.1	0.00451715079194113	0.32	0.320245258448813	5	35126	0.267138614264192
ATP4B	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1	1.52913150917951e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	0	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ATP5F1A	3.59990502196367	8	0.00095	58.125	6979.273525	0.001547	0.035714	1	0.000105	13319.703874	2328.504762	3.49565811286585e-05	2328.50476190476	730.109375	5.31759515846472	473	8	2	0.314253343630457	3262	1002	-0.482116492721097	2213.74741112064	282118	0.158057851239669	16.8928571428571	9	7	0.0090399036108344	0.126010102654786	8	9	1.869254654041e+18	0.0357142857142857	-0.0791944322570854	0.53125	0.531262552722368	8	86353	0.284206610753644
ATP5F1B	3.57129288851953	9	0.001069	43.555556	27289.366636	0.000569	0.027778	1	0.000142	57014.236791	2343.621429	3.49743115407563e-05	2343.45476190476	740.0390625	11.7031338968891	400	8	2	0	3325	872	-0.304649710456387	2231.48329510322	192233	0.115315315315315	11.1111111111111	10	6	0.00331584243108069	0.112953213587742	7	10	252339352355121568	0.0277777777777778	0.192095136609997	0.765432098765432	0.766015715895079	9	252043	0.28603133918035
ATP5F1C	3.52629704380862	16	0.0019	26.6875	43352.43375	0.001396	0.008333	1	0.000207	89795.440893	2379.633333	4.20344620024121e-05	2379.55	766.1328125	0	443	11	2	0	3654	1126	0.0793017948183105	2259.9572082688	231106	0.0663560411311054	3.69166666666667	17	8	0.00816424533748436	0.0634955935618814	7	17	1524397253005880832	0.00833333333333333	-0.299680485449523	0.90625	0.906252172688344	16	407001	0.290436958379084
ATP5F1D	4.51074439035973	1	0.000119	48	0	4.6e-05	0	0	2.5e-05	0	1825.633333	1.0255670446698e-05	1825.63333333333	384.859375	0	49	1	1	0	399	98	-0.959183673469388	1766.73287887561	18464	1	NA	2	1	0.00026803372717854	1	8	1	1643298321741701	NA	-1.47025526281453	0	2.202608107571e-06	1	0	0.222828430774243
ATP5IF1	3.96711385492105	2	0.000237	71	582.112796	0.000108	0	0	4.3e-05	966.577304	2091.828571	1.74136863266041e-05	2091.82857142857	561.3515625	0	144	2	1	0	1595	290	-0.943683702989393	2008.83582223552	53262	0.510948905109489	0	3	2	0.000629391986096722	0.5	8	2	9134720809284150	0	-0.267468201476256	0.5	0.500107379622458	2	7359	0.255319000540516
ATP5MC3	5.02362578653686	1	0.000119	9	0	1.1e-05	0	0	3.6e-05	0	1627.626984	8.86518611725655e-06	1627.62698412698	266.95703125	1	10	1	1	0	114	20	-0.8	1586.36028264877	1535	1	NA	2	1	6.523002487233e-05	1	9	1	107417911146348	NA	-0.377964473009227	0	0.000153301888784596	1	0	0.198660684014055
ATP5MD	4.18437611302386	1	0.000119	83	0	6.8e-05	0	0	3.3e-05	0	1975.613095	1.03082642778075e-05	1975.6130952381	482.02734375	0	84	1	1	0	964	168	-0.976190476190476	1904.5325294368	25045	1	NA	2	1	0.000397605068849143	1	8	1	3622569933949230	NA	-0.267468201476256	0	0.000226818622753422	1	0	0.24113427257879
ATP5MF	3.80303929716253	10	0.001187	21.6	25881.411052	0.000186	0	0	0.000174	55250.521937	2198.230952	3.49512391294904e-05	2198.18095238095	636.7265625	1	226	5	1	7	2392	542	0.146306471306471	2095.50304373615	96404	0.102487562189055	0	11	5	0.00107849883608276	0.1	7	10	27017401234274776	0	0.095989014337778	0.76	0.760028947769776	10	220194	0.268299884337948
ATP5MG	4.63492817286003	2	0.000237	14	79.100044	5.7e-05	0	0	4.1e-05	228.527494	1776.614286	1.65041435603379e-05	1776.61428571429	355.296875	0	30	2	1	0	358	62	-0.746031746031746	1719.39674692623	8403	0.5	0	3	2	0.000334531059371174	0.5	8	2	2568826056655219	0	-0.447213595499958	0.5	0.500063594945556	2	1094	0.216845390664512
ATP5PO	3.72598836519055	5	0.000594	59.2	989.601924	0.001742	0	0	6.1e-05	1662.108526	2244.804762	2.95044908959922e-05	2244.80476190476	670.484375	4.18538333012017	301	5	1	1	2725	622	-0.744191408922318	2138.83663650268	168222	0.224710424710425	0	6	5	0.0101885488299967	0.2	7	5	2373925206254134272	0	-0.189437458853304	0.32	0.32001858301087	5	23389	0.273990572672356
ATP6AP1	4.93197198147928	9	0.001069	14.555556	268.383221	3e-06	0.833333	30	0.000105	543.951111	1664.752778	2.331670050879e-05	1664.75277777778	287.935546875	2	140	9	9	0.101970606068083	142	352	-0.226528464331668	1615.8405709884	6211	0.55982905982906	116.666666666667	10	9	1.73899641983312e-05	0.240265569620495	9	39	7031887888244.62	0.833333333333333	-0.205293920683813	0	0.000368284293912335	9	9957	0.203192088096903
ATP6AP2	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1	1.52913150917951e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	0	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ATP6V0A1	4.91736910839368	12	0.001425	13.833333	699.576371	3e-06	0.757576	50	0.000135	1460.441122	1671.069048	2.45307021413468e-05	1671.06904761905	291.3203125	1	178	10	12	0.126141301050053	144	488	-0.0562792380033759	1620.63905454019	7443	0.494047619047619	134.848484848485	13	9	1.8549073854225e-05	0.218436207367235	8	62	8005369174572.29	0.757575757575758	0.410587841367626	0	0.000558098373296789	12	20395	0.203963023021994
ATP6V0A2	5.2546598599074	10	0.001187	12.6	627.857104	1e-06	0.644444	29	0.000117	1676.920997	1559.692063	2.32349497221324e-05	1559.69206349206	231.318359375	0	136	8	10	0.149657346265156	70	362	-0.0642562230797525	1516.61204247628	4638	0.547826086956522	87.6444444444444	11	7	7.04452252374893e-06	0.223877100750431	9	39	1249007040755.62	0.644444444444444	0	0	0.000212812770039816	10	15416	0.190368859208134
ATP6V0A4	5.02825596580791	6	0.000712	14.666667	233.785922	3e-06	0.8	12	7.5e-05	550.000976	1630.669048	2.09530038457351e-05	1630.66904761905	269.201171875	0	94	6	6	0.0501750035468149	114	218	-0.403827751196172	1584.89951125068	4381	0.666666666666667	75.2	7	6	1.56451159135548e-05	0.276054686315866	9	18	5700874454359.61	0.8	-0.821175682735253	0	0.000177731899033695	6	7143	0.199031984330431
ATP6V0B	4.91665677312122	18	0.002137	11.555556	2742.102136	3e-06	0.568627	87	0.000198	5824.226864	1674.069048	2.57424263657728e-05	1674.06904761905	292.8203125	3.62049062049062	226	10	18	0.192267623453516	144	758	0.237347222822431	1620.87385603554	8916	0.412698412698413	128.509803921569	19	9	1.96920694502902e-05	0.193556360885969	8	105	9029127263531.75	0.568627450980392	1.64235136547051	0	0.000847836760808685	18	62861	0.204329189261466
ATP6V0D2	5.25501602754363	7	0.000831	15	0	1e-06	1	21	8.5e-05	0	1558.192063	2.16766520350532e-05	1558.19206349206	230.568359375	0	112	7	7	0.0775740148258852	70	266	-0.351561832971175	1516.50925151933	4009	0.652173913043478	112	8	7	6.71735065922875e-06	0.287117279479263	9	28	1143419711952.94	1	-0.61588176205144	1.11022302462516e-16	0.000148161296672944	7	0	0.190185776088398
ATP6V0E1	5.00439273418022	14	0.001662	11.857143	1052.055255	2e-06	0.56044	51	0.000157	2319.375244	1640.738095	2.49133147707433e-05	1640.7380952381	273.890625	3.27777777777778	180	10	14	0.146267361227238	105	542	0.100277971859318	1592.45703643955	6963	0.456043956043956	100.879120879121	15	9	1.45363278583802e-05	0.188643393082711	8	65	4844149035598.5	0.56043956043956	0.821175682735253	1.11022302462516e-16	0.000459334785540721	14	27340	0.200260966097677
ATP6V0E2	5.64786893030987	5	0.000594	12	18.315218	0	0.5	5	6.7e-05	60.122141	1442.92381	1.9408929881417e-05	1442.92380952381	173.62890625	0	65	5	5	0.068033073723357	30	150	-0.394303941672363	1411.02432102918	1971	0.571428571428571	32.5	6	5	1.56400782543445e-06	0.271032034600333	9	10	57487955171.2168	0.5	-1.02646960341907	0	3.01064839470788e-05	5	486	0.176116661726335
ATP6V1A	4.42253353911908	16	0.0019	13.75	34352.086454	3.5e-05	0.525	63	0.000171	70396.368919	1874.460714	2.66987891963362e-05	1874.46071428571	415.70703125	4.32022225125882	236	10	15	0.141211787238757	598	712	0.124240925975867	1801.97173230249	18223	0.210576923076923	123.9	17	9	0.000205052087907869	0.177750264632749	8	79	1125511366622794	0.525	1.02646960341907	0.1171875	0.11771622928816	16	410504	0.228788076929785
ATP6V1B1	5.64858126558233	3	0.000356	13	0.125	0	0.666667	2	4.7e-05	0.25	1441.257143	1.60735724859161e-05	1441.25714285714	172.62890625	0	42	3	3	0	30	90	-0.612820512820513	1410.84637857833	1377	0.764705882352941	28	4	3	1.31969039973966e-06	0.404721367849972	9	5	40417757704.8689	0.666666666666667	-1.43705744478669	0	1.79355802724102e-05	3	1	0.175913236037739
ATP6V1B2	5.25418496972575	14	0.001662	11.928571	427.61726	1e-06	0.604396	55	0.000156	1090.40829	1561.692063	2.4680593797143e-05	1561.69206349206	232.318359375	0	181	10	14	0.146267361227238	70	544	0.105871817584743	1516.74911876356	6178	0.518633540372671	109.395604395604	15	9	8.3415688882016e-06	0.202968896971721	9	69	1727159983501.8	0.604395604395604	0.821175682735253	1.11022302462516e-16	0.000316996886912002	14	11747	0.190612970034449
ATP6V1C1	4.91760655348451	10	0.001187	13.9	1833.888917	3e-06	0.755556	34	0.000117	3740.470765	1670.069048	2.38021704611592e-05	1670.06904761905	290.8203125	0	149	10	10	0.149657346265156	144	388	-0.134690349907741	1620.56080249149	6591	0.496428571428571	112.577777777778	11	9	1.81666780765612e-05	0.222710244152603	8	44	7668670592528.54	0.755555555555556	0	0	0.000461099456377623	10	33094	0.203840967608836
ATP6V1C2	5.30048676243619	9	0.001069	12	578.437891	1e-06	0.555556	20	0.000108	1551.316222	1545.759127	2.26920448841075e-05	1545.75912698413	224.42578125	0	117	7	9	0.101970606068083	68	306	-0.0836530940878767	1503.49973121892	4095	0.571428571428571	65	10	6	6.55106732243701e-06	0.216852460834585	9	29	1089806474306.18	0.555555555555556	-0.205293920683813	0	0.000144822413143286	9	14350	0.188668268886157
ATP6V1D	4.67624361866318	17	0.002019	11.235294	19577.606494	8e-06	0.514706	70	0.000193	40207.088892	1760.721429	2.63108202271463e-05	1760.72142857143	342.7578125	3.4973544973545	208	10	16	0.175546483439289	218	688	0.239666515250497	1704.20557022443	10450	0.385395537525355	107.058823529412	18	9	4.59430909325437e-05	0.177183731064037	8	87	48428544037323.1	0.514705882352941	1.23176352410288	0.110726643598616	0.111329991548616	17	253858	0.21490558141969
ATP6V1E1	4.40531877003443	16	0.0019	11.9375	41319.970385	1e-05	0.433333	52	0.000212	86532.342135	1877.166667	2.75166619231022e-05	1877.16666666667	416.1640625	0	207	10	12	0.157676626312566	533	654	0.209324377654042	1809.01334016062	15938	0.224759615384615	89.7	17	9	6.12434389990949e-05	0.147362749776033	8	68	85995173971069.3	0.433333333333333	0.821175682735253	0.2265625	0.226983224119857	16	412500	0.229118353065626
ATP6V1E2	5.57117416597412	5	0.000594	13	0.485714	0	0.7	7	6.7e-05	0.971429	1464.42619	1.94177007953684e-05	1464.42619047619	183.90625	0	70	5	5	0.068033073723357	30	160	-0.41656314699793	1430.44898350595	2224	0.65	49	6	5	2.22683167206714e-06	0.29757037037037	9	12	114623148546.202	0.7	-1.02646960341907	0	3.57842860361224e-05	5	3	0.178741143717352
ATP6V1F	4.97257509200997	10	0.001187	13.6	1383.616862	2e-06	0.711111	32	0.000117	2909.506172	1649.710714	2.36485535673103e-05	1649.71071428571	278.93359375	1	146	9	10	0.149657346265156	107	382	-0.123016935602748	1602.64657148314	5932	0.503703703703704	103.822222222222	11	9	1.44132023640274e-05	0.220750487615143	8	42	4756609958699	0.711111111111111	0	0	0.000369047110544307	10	31452	0.201356122822638
ATP6V1G1	4.17369108393684	13	0.001544	15.692308	52588.073796	9.2e-05	0.628205	49	0.000146	98525.477981	1987.221429	2.63047842544305e-05	1987.22142857143	489.203125	3.63303909205549	217	10	12	0.126141301050053	1040	590	-0.0224672674448638	1909.4083060731	35722	0.211018711018711	136.320512820513	14	9	0.000540102274099107	0.201204065711349	8	62	6671787533312118	0.628205128205128	0.410587841367626	0.142011834319527	0.142417088597097	13	674351	0.24255113249986
ATP6V1G2	5.3778938620444	1	0.000119	16	0	0	0	0	2.9e-05	0	1516.561508	8.7702436286647e-06	1516.56150793651	208.83203125	0	17	1	1	0	56	34	-0.882352941176471	1481.85900039737	913	1	NA	2	1	1.11317417582402e-06	1	9	1	28438701123.3541	NA	-1.84764528615432	0	1.07960278761254e-05	1	0	0.185104541430081
ATP6V1G3	5.09319719814793	12	0.001425	12.916667	1221.181249	1e-06	0.666667	44	0.000139	3163.966593	1611.301984	2.42728301551215e-05	1611.30198412698	258.255859375	0	167	10	12	0.126141301050053	98	466	0.00275015365759467	1564.69111888112	6076	0.478395061728395	111.333333333333	13	9	8.68214433854607e-06	0.211277392264965	9	56	1849602203117.1	0.666666666666667	0.410587841367626	0	0.000389516698342862	12	25223	0.19666812939426
ATP6V1H	4.59931140923661	18	0.002137	10.944444	22059.13369	1.3e-05	0.48366	74	0.000201	47460.092532	1794.171429	2.6494720263654e-05	1794.17142857143	363.8125	1	215	10	17	0.202711383319088	315	736	0.270085318060526	1732.71164171399	11104	0.375478927203065	103.986928104575	19	9	7.48126071656856e-05	0.171389423908943	8	92	128208251197224	0.483660130718954	1.43705744478669	0.104938271604938	0.105576401978954	18	263703	0.218988334989807
ATP7A	7.39522735367446	1	0.000119	2	0	0	0	0	6.9e-05	0	1089.807468	2.97814275473568e-06	1089.80746753247	50.06787109375	0	3	1	1	0	3	6	-0.333333333333333	1077.62480333922	6	1	NA	2	1	3.63742244711972e-10	1	11	1	3061.61721059854	NA	0	0	0.000246140530973604	1	0	0.133016900711874
ATP7B	5.45031461474534	2	0.000237	2	16382	0	0	0	1e-04	32764	1491.863095	5.54229819726933e-06	1491.8630952381	195.021484375	0	6	2	1	0	16	14	0	1462.16888124074	387	0.5	0	3	1	1.10063490338556e-06	0.5	9	2	27910679061.5885	0	0	0.5	0.500307600311597	2	137524	0.182089966463838
ATPAF1	4.5438679805295	1	0.000119	9	0	1e-05	0	0	3.1e-05	0	1805.377381	9.40975303350893e-06	1805.29404761905	370.76953125	0	10	1	1	0	377	20	-0.8	1753.85386564941	5581	1	NA	2	1	6.02694790820331e-05	1	8	1	83435043465118.7	NA	-0.264130812838746	0	2.00158151562047e-05	1	0	0.220345910853057
ATPAF2	4.35213106969013	2	0.000237	8.5	19.696438	3.8e-05	0	0	4.3e-05	53.171017	1890.247619	1.60101101520134e-05	1890.16428571429	424.84375	0	19	2	1	0	652	40	-0.618181818181818	1831.12141960827	12757	0.535714285714286	0	3	2	0.000224580749264979	0.5	8	2	1154461759758268	0	-0.264130812838746	0.5	0.500010829336839	2	276	0.230704782828545
ATR	3.32316276860976	46	0.005462	28.608696	72147.03266	0.001944	0.096618	100	0.000445	144366.121304	2551.940476	5.07989227367327e-05	2551.94047619048	889.640625	0	1362	24	40	0.228025580477109	4680	4794	0.32872664636158	2398.10113965203	739746	0.038745933155871	131.594202898551	47	12	0.0113173450519105	0.0313961310635534	7	146	2942251819477369344	0.0966183574879227	1.79402163430397	0.646502835538752	0.646775005229989	46	975787	0.311478149174944
ATRAID	5.45981241837825	1	0.000119	3	0	0	0	0	4.1e-05	0	1489.499603	7.18082565019045e-06	1489.4996031746	194.21875	0	4	1	1	0	24	8	-0.5	1459.62531529964	404	1	NA	2	1	8.85543376769375e-07	1	9	1	18046007604.9373	NA	0	0	0.000252609690371886	1	0	0.181801489463533
