spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
ABCF3	4.28149115517037	0.000831	6.285714	8421.807181	8.2e-05	0	1929.720238	2.9670946680157e-05	1929.72023809524	451.16796875	0	51	2	791	1861.33291739456	14319	4	0.000476641778134605	8	5195992349891851	0.693877551020408	0.235532800939241
ABCG5	4.3330167398789	0.000237	35	8192	2.9e-05	0	1906.132143	1.03180154748781e-05	1906.13214285714	436.42578125	0	72	0	679	1839.19908485629	29836	1	0.000167920142728988	8	644956790450585	0.5	0.232653746229358
ABCG8	5.30559183188888	0.000119	2	0	1e-06	0	1537.167063	5.72743713350875e-06	1537.16706349206	218.962890625	4.29361996028663	3	0	70	1502.05305556177	681	1	3.05215333346752e-06	9	213086962964.262	0	0.187619561026758
ABHD16A	4.05105069452689	0.001069	12.666667	30614.038579	0.000626	0	2050.295238	2.84734070990057e-05	2050.29523809524	532.4140625	2.2	123	4	1353	1967.21320555653	67008	3	0.0035887564907886	8	319422919666759936	0.518518518518519	0.250249632380706
ABHD5	5.17072302030155	0.000119	2	0	1e-06	0	1575.195238	5.71885109372851e-06	1575.19523809524	237.185546875	0	3	0	62	1541.23135030882	858	1	3.77474530008995e-06	9	326269978091.027	0	0.192261105589582
ABI1	3.92662946693577	0.000831	16	1457.882641	0.000223	0.047619	2112.761905	3.30690991913119e-05	2112.7619047619	575.296875	0	119	0	1809	2029.54734837032	75446	5	0.00130577463671278	7	38992590238751904	0.448979591836735	0.25787402718928
ABI2	3.72658197791761	0.001781	22.466667	23012.197266	0.000233	0.038095	2246.009524	4.22031808767312e-05	2246.00952380952	669.3125	1	353	0.159664183576095	2556	2138.49593806748	155783	8	0.00136055562937471	8	42387189803984880	0.444444444444444	0.274137620384399
ABI3	3.89861094621869	0.000831	20.285714	3837.095058	0.001318	0	2130.716667	3.29095216364746e-05	2130.71666666667	587.9609375	0	149	2	1896	2044.1332906998	87645	5	0.007718266682734	8	1362798132653668864	0.612244897959184	0.260065503071711
ABL1	2.97221892437374	0.017573	20.662162	881939.32318	0.00607	0.01526	2914.345238	5.39925547045724e-05	2914.34523809524	1146.1953125	0	3207	0.167496466099244	6117	2681.25620131815	2017093	13	0.035415256531693	7	28727275182739202048	0.783601168736304	0.355711612119503
ABL2	3.57948474415291	0.001425	53.916667	8542.936135	0.000407	0.151515	2347.645238	3.97585941241641e-05	2347.64523809524	743.328125	0	659	0.106898104475112	3257	2226.37641791045	355564	8	0.00237267032200717	7	128971398868148208	0.611111111111111	0.286542809483104
ABLIM1	3.5626261427045	0.000831	73.428571	8854.65976	0.001232	0.095238	2355.080952	3.37199976497347e-05	2355.08095238095	749.09375	0	521	0.159664183576095	3336	2236.91179018928	279413	6	0.00718700246698618	7	1182928142955470336	0.489795918367347	0.287450378662369
ABR	3.89504926985635	0.000237	81	530.946748	0.000112	0	2136.146429	1.71276266865769e-05	2136.14642857143	593.06640625	0	164	0	1954	2046.00246891002	79433	2	0.000651640508789228	8	9729672252558634	0.5	0.260728234904343
ABRAXAS2	4.37195773477383	0.000119	35	0	3.9e-05	0	1885.961905	1.0140294652688e-05	1885.9619047619	423.3671875	0	36	0	647	1822.81735234216	15175	1	0.00022329780484875	8	1184103157189203	0	0.230191859485157
ABT1	4.26427638608572	0.000119	78	0	9.2e-05	0	1944.408333	1.03501609402319e-05	1944.35833333333	463.31640625	0	79	0	971	1868.84706832229	43553	1	0.000531294849796044	8	6809424174760185	0	0.237319459701365
ACACA	3.49661640745578	0.00095	63.375	19581.664041	0.000735	0.035714	2397.907143	3.39145187101424e-05	2397.90714285714	780.375	0	515	0.314253343630457	3792	2279.14060165693	246472	6	0.00427838973678028	7	420318811297927040	0.71875	0.292677547034904
ACACB	4.44758399620088	0.000237	6	0	1.4e-05	1	1847.141667	1.43086293995631e-05	1847.14166666667	397.14453125	0	14	0	470	1791.82235331803	9018	2	8.11199207072451e-05	8	151258455204428	0.5	0.225453639285571
ACAD9	4.86097589932328	0.000356	22	7725.683551	5e-06	0.333333	1689.612698	1.8160469009315e-05	1689.6126984127	302.923828125	0	69	0	171	1639.44043083236	7169	2	3.16182815547363e-05	9	22960250302515.8	0.444444444444444	0.20622637598106
ACADM	4.46420515255847	0.000237	12.5	47.233916	4.3e-05	0	1844.02381	1.4837873573236e-05	1844.02380952381	396.1328125	1	27	0	470	1785.15102920057	10972	2	0.000250579094130579	8	1436588714994210	0.5	0.225073087943834
