GRIA2	GYS1	WT1	RASGRF1	HNRNPUL1	LIPE	KHDRBS3	PPP1CB	GRIK2	GRIA1	HAUS2	TAF15	TK1	SF1	USP8	DDX17	LASP1	CEP72	STOM
gilschmidt	-0.460197893374946	-0.865844030887921	5.30506371721646	-0.315837946180176	-0.0762567867470315	-0.115864961882516	-0.442948561851077	0.0202395339639421	-0.216478210714703	-0.423163799839864	-0.245555298640052	-0.0632696688894596	0.022336597556958	-0.0103751736413371	0.0450003172969912	-0.00911935633817007	-0.286236214098348	-0.295437311006326	-0.303504080275197
spl_n	-0.271126156881986	-0.337968601585189	-0.188484588885301	-0.382260160903674	-0.526477799172404	1.05627027025433	-0.214546390557464	-0.593725349601076	-0.407376715883064	-0.00645708290567231	0.857903500013917	-0.448562464639584	-0.359574240277133	-0.546327979720626	-0.826121000781308	-0.0593908977009375	0.606062774010945	0.933388200193899	-0.0445370211002277
degree_centrality_n	0.0307892941324573	-0.223181851688905	-0.159555396209448	-0.223181851688905	0.475639806392191	-0.477152997510267	-0.0323024852505337	0.665984496734096	0.0944157496119145	-0.223181851688905	-0.41352654203081	0.0307892941324573	-0.159555396209448	0.665984496734096	0.348386895433277	-0.349900086551353	-0.41352654203081	-0.41352654203081	-0.159555396209448
average_neighbor_degree_n	-0.277614866702531	0.0305471453837795	-0.313491984531972	0.594701987819157	0.514771110256535	-1.08563018941643	-0.602357753578883	-0.246677343085107	-0.0383867528279662	-0.5093429969105	-0.970372736356406	0.785180062272503	0.284460137012764	0.859794089820408	1.87102646730071	0.415749633193853	-0.812652039850921	-1.00676982296514	-0.531874504184377
betweenness_n	-0.112246563434877	0.717075838607735	0.179649977242527	-0.251174413315388	-0.0676159648148129	-0.25061596352171	-0.141164323258306	0.208065934476695	0.0678911373036639	-0.200363391411885	-0.255115972275132	-0.17029225743079	-0.133055590412697	0.193421605877344	0.312656233905414	-0.254506349551768	-0.249569131392022	-0.255610502393302	-0.0603034791850464
eigenvector_n	-0.168848191467101	-0.145918689631897	-0.135665660355993	-0.138368731710549	0.193270160686429	-0.177516661673093	-0.15943404640468	-0.0595136156431395	-0.159527255761733	-0.17313582189157	-0.177143824244878	-0.0367705325220427	-0.1523501352686	0.391340044425489	0.521646725586528	-0.105652247384709	-0.177330242958986	-0.177516661673093	-0.151138413626903
cluster_coefficient_n	-0.309024764816714	-0.590894368992731	-0.590894368992731	1.10031480001752	-0.031302851127696	-0.590894368992731	-0.238560534789902	-0.346112981893109	-0.206529033128848	-0.309024764816714	-0.590894368992731	0.254710215512395	-0.590894368992731	0.499491602612017	-0.0674228509548324	-0.590894368992731	-0.590894368992731	-0.590894368992731	-0.389560145444983
harmonic_centrality_n	0.486011185285959	0.567366557835838	0.381015965477474	0.622953560904634	0.860438348809029	-0.779261946742503	0.40904244721553	0.941035503624977	0.668821589307216	0.173537296818169	-0.623894424630099	0.751707184533652	0.602489954876917	0.894202467886106	1.31228642360115	0.250111761944875	-0.428363424932476	-0.686570989669546	0.216099496271373
markovcent_n	0.903072298394193	0.176372698995602	0.24216801230236	0.481383306377426	1.34015968094975	-1.02733788035785	0.782748128725511	1.39227277045539	0.966046564208463	0.331427500539136	-0.419347222273414	0.947459293169613	0.61474089096738	1.45265367610945	1.19697000127918	0.0918695707836126	-0.414057454814382	-0.491384366017322	0.411342148822769
closeness_latora_n	0.486039196047201	0.567394974421855	0.381043452790153	0.622982253637343	0.860468226949515	-0.779240249291702	0.409070073157467	0.941065783917283	0.668850513000906	0.173563747009456	-0.623871951986057	0.75173652003311	0.602518547157624	0.894232515490424	1.31231855641695	0.250138594767581	-0.428339977465405	-0.686548831120004	0.216126161038991
closeness_residual_n	0.555417272786294	0.683767293954996	0.399164237583014	0.766342535901681	1.13157992208709	-1.1875890822119	0.440884239972181	1.25168587092739	0.834408979228457	0.0952097107338822	-0.992306417873479	0.968543302893308	0.736556260589286	1.18073688482845	1.83384420919429	0.215411744333257	-0.746588863498033	-1.0741321986994	0.156492570070158
communitycent_n	0.0625142609698936	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.448474754351151	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.904609882892631	-0.51642647910199	0.0625142609698936	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936
diffusion_degree_n	-0.134140601815856	-0.210714550862528	-0.257836981045095	-0.0737649881444421	0.675776166947016	-0.502284587617162	-0.29023365179561	0.269345206622375	0.0101718406182556	-0.341773809807793	-0.483141100355494	0.295851573600069	-0.0884907475764943	1.16467138009115	1.35905140459424	-0.249001525385864	-0.463997613093826	-0.487558828185109	-0.319685170659714
dmnc_n	-0.123265764231294	0.35898235213825	0.841230468507795	-0.0904569425773752	-0.110971981055946	-0.123265764231294	-0.123265764231294	-0.0506753613834342	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.0990689632820077	0.841230468507795	-0.0197961452632007	-0.0990689632820077	-0.123265764231294	-0.123265764231294	-0.123265764231294	0.0282823187973247
geokpath_n	0.439461901299823	0.725141651549768	0.22684602579411	0.805511913768422	1.2972317907971	-1.1029164945509	0.351785251606745	1.51715405377724	0.853003432352172	-0.142857180411701	-1.02327687107969	1.03420184171787	0.75436720144746	1.29650115204966	2.22148980631163	0.0310348414795697	-0.939984053871265	-1.0788054158853	-0.0741771381521234
lincent_n	0.489248841289242	0.570972402307905	0.391629227374734	0.626550002052897	0.815881830381704	-0.733928144652516	0.422017702270216	0.908820744314241	0.658587787671043	0.188988200508954	-0.588919051534344	0.711961037597514	0.59793853085331	0.842995175735983	1.25547386415783	0.246242642093155	-0.38891228625455	-0.645323970959566	0.230042169454056
semilocal_n	-0.196997497864233	-0.165390878917829	-0.236890835647964	-0.0344923162912101	0.684029164595052	-0.426017130525422	-0.257267289508964	0.229525751829559	-0.0305359714131707	-0.321735034879249	-0.420792339197935	0.292292942619265	-0.138825521501281	1.07189964501062	1.42532692568349	-0.178721182447007	-0.414038907277524	-0.422969141987555	-0.295051196200939
coreness_n	0.119417187291197	-0.215698910844319	-0.215698910844319	0.119417187291197	0.957207432629988	-0.550815008979835	0.119417187291197	0.789649383562229	0.454533285426713	-0.0481408617765611	-0.550815008979835	0.622091334494471	0.119417187291197	1.2923235307655	0.622091334494471	-0.215698910844319	-0.550815008979835	-0.550815008979835	-0.0481408617765611
hub_score_n	-0.168253020710228	-0.145523285005723	-0.135912727197949	-0.138048707162591	0.186756221265639	-0.176975037687087	-0.158963545004435	-0.0591178613301242	-0.158977504391139	-0.172609620466191	-0.176566742112191	-0.0385525275850244	-0.151876027996297	0.38042208946669	0.522079568247158	-0.106641325141827	-0.176759082831862	-0.176966819467601	-0.150581640567702
eccentricity_n	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	-0.576962892462901	0.950062541383136	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.950062541383136	-0.576962892462901	-0.576962892462901	-0.576962892462901	-0.576962892462901	0.186549824460118	0.186549824460118	0.950062541383136	0.186549824460118
subgraph_centrality_n	-0.0942206083204175	-0.0941365297124376	-0.0940614413836336	-0.0940877470246309	-0.0812477203338126	-0.0942277777199704	-0.0941975678811303	-0.0929607707007948	-0.0941977710396305	-0.0942259201585446	-0.0942277510269179	-0.0923802744790806	-0.0941695957838073	-0.0635073888966601	-0.0497597186600199	-0.0937311865324946	-0.0942277675496871	-0.0942277774782725	-0.0941636970364674
pc_n	0.859136999262311	1.23165059735059	1.32667957645474	-0.126471895679589	1.2477627771987	-1.09655939070115	1.05919059823565	1.29567637202201	1.09696076333107	1.23165059735059	0.455580601333342	0.998829598545415	1.04159263914228	0.597213375606491	1.07643659814714	0.213058727577955	0.455580601333342	0.455580601333342	1.04159263914228
gilschmidt_n	-0.00628737721009996	0.0285573126296585	-0.0512570669036606	0.0523653511242337	0.154080622573621	-0.548206718580063	-0.0392532619685197	0.188600566091973	0.07201073222615	-0.140120650295108	-0.481662457819492	0.107510819187282	0.0436007431332253	0.168541871490068	0.347608174012933	-0.107323633623827	-0.397916089189736	-0.508506972827232	-0.121891163154551
