genename	p_value	fdr
7899	SEC61A2	5.25095731400954e-07	1.00164989228238e-06
1036	CABP1	5.27795235703151e-07	1.00661059857671e-06
2154	DCAF10	5.33670931759916e-07	1.01762593979262e-06
249	AKAP3	5.34533830171003e-07	1.01908033252054e-06
457	ARC	5.40616124443343e-07	1.03048301179729e-06
3044	FGF17	5.45197034501855e-07	1.03902012588748e-06
7974	SERPINF1	5.51246219386748e-07	1.05035171189762e-06
9544	UBXN1	5.52206584091217e-07	1.05198456553557e-06
8211	SLC35E1	5.5356052038962e-07	1.05436644334836e-06
4386	KBTBD4	5.59897879278509e-07	1.06623757504685e-06
8493	SPRED2	5.60263733064065e-07	1.06673459787773e-06
5182	MERTK	5.6155693688907e-07	1.0689967662748e-06
2863	F13A1	5.63743724838688e-07	1.07295882372011e-06
8115	SIRT3	5.64607000054376e-07	1.0744008626175e-06
3960	HSPA13	5.65398270382504e-07	1.07570536835631e-06
1170	CAV2	5.65973302484791e-07	1.07659805650295e-06
1105	CAND1	5.7747857807588e-07	1.09827810334005e-06
9929	ZBED1	5.83008600056257e-07	1.10858812866772e-06
1560	CFHR5	5.96305628904903e-07	1.13366046773492e-06
335	ANKRD13A	5.98419575615718e-07	1.13746680544445e-06
4674	LAD1	6.06463808965646e-07	1.15254181367598e-06
1579	CHD2	6.06890562625573e-07	1.15313741008404e-06
10106	ZNF558	6.11809117649787e-07	1.16226594843161e-06
9451	TWF1	6.16162657493807e-07	1.17031790789479e-06
9656	USP54	6.16844739847019e-07	1.17139472437255e-06
1924	CREBZF	6.25491559433418e-07	1.1875934367518e-06
4777	LIMS2	6.34417367580731e-07	1.20431570822892e-06
6723	POLR2D	6.34712550453044e-07	1.20465126413411e-06
9376	TSKU	6.44414242787313e-07	1.22283642825505e-06
9343	TRPC2	6.44561768240969e-07	1.22288826339339e-06
9441	TUBGCP6	6.44913052179591e-07	1.22332658583311e-06
4718	LCT	6.46508486273314e-07	1.22612431596913e-06
931	BTBD10	6.47448164097465e-07	1.22767757192237e-06
2177	DCTN3	6.5166381765483e-07	1.235440927507e-06
5717	NDUFC1	6.59599505460271e-07	1.2502526120826e-06
7856	SCO2	6.70461368749376e-07	1.27060422956174e-06
2619	EIF3K	6.75857581910449e-07	1.28059213648258e-06
9133	TNFRSF10A	6.77446219814119e-07	1.28336320189367e-06
3897	HOXA2	6.81032648048498e-07	1.28991717158767e-06
5519	MYBPC3	6.84811429874833e-07	1.29683296279164e-06
2132	DAO	6.8637093464409e-07	1.29954429892692e-06
4842	LRP10	6.87885813616445e-07	1.3021701492222e-06
5583	MYOZ1	6.99242114924745e-07	1.32342140188455e-06
5280	MMP17	7.01146882191765e-07	1.32677961914748e-06
2610	EIF2S3	7.09675175913271e-07	1.34266794951938e-06
9123	TMPRSS6	7.1607756797352e-07	1.35452902547315e-06
8417	SOX18	7.34251102908952e-07	1.38864779139111e-06
4934	MADCAM1	7.39715315139837e-07	1.39872191466869e-06
8992	THOC1	7.41520348195137e-07	1.40187446611952e-06
4232	INTS6	7.44619814155308e-07	1.40747256956558e-06
4704	LAT	7.56044376649586e-07	1.42880168004017e-06
4350	JAZF1	7.56349579950975e-07	1.42911297861093e-06
1783	COG4	7.57511004468427e-07	1.43104168030776e-06
6857	PPRC1	7.59063899606769e-07	1.43370906994052e-06
6903	PRKAR1B	7.59471907112881e-07	1.43421342325215e-06
10097	ZNF484	7.61750012412738e-07	1.4382484922559e-06
8713	SVIL	7.71844226204938e-07	1.45703679962569e-06
6513	PIK3AP1	7.78441121179444e-07	1.46921735171772e-06
7188	RAB40C	7.80268439571e-07	1.47239303204522e-06
2635	EIF5A2	7.81280898993751e-07	1.4740301530904e-06
5202	MFAP5	7.81874355134158e-07	1.47487628681249e-06
7249	RALGDS	7.82559528585776e-07	1.47589508422378e-06
3378	GLCCI1	7.87135410712453e-07	1.48424995981052e-06
4357	JMY	7.8743200746263e-07	1.4845340644769e-06
8759	SYVN1	7.89638202756877e-07	1.48841753504645e-06
1739	CNGA2	7.92732718806583e-07	1.49397368440522e-06
9738	VPS29	7.94908532050402e-07	1.49779672097587e-06
4340	JAG1	7.99454242860491e-07	1.50608296529996e-06
1077	CALCR	8.01192235710646e-07	1.5090776918875e-06
1729	CMBL	8.04448765985039e-07	1.51493100636168e-06
6687	PNPT1	8.08603211049563e-07	1.52247278660137e-06
3549	GRID2	8.1404123715467e-07	1.53242810983983e-06
2251	DGKG	8.14304259392807e-07	1.53263963567123e-06
1076	CALCOCO2	8.23594542957593e-07	1.54983856557669e-06
6438	PFN1	8.2409024857246e-07	1.55048457531489e-06
6306	PCLO	8.26359074409525e-07	1.55421349072049e-06
5075	MBD3	8.26377742190811e-07	1.55421349072049e-06
2844	EXOSC5	8.39565065288783e-07	1.57872373552362e-06
4793	LITAF	8.41531702386913e-07	1.58212936765516e-06
6557	PJA2	8.46929798653495e-07	1.59198389536253e-06
7986	SETD1B	8.49838456522031e-07	1.59715621987782e-06
9704	VCPIP1	8.54522506260878e-07	1.60566262582045e-06
6909	PRKCE	8.55873024162499e-07	1.60790328251249e-06
6339	PDE10A	8.63155480889059e-07	1.62128521179549e-06
276	ALDH5A1	8.64743459626891e-07	1.62396810315384e-06
4698	LARGE1	8.65623150677323e-07	1.62532010185316e-06
4466	KCTD3	8.68728633604756e-07	1.63085004422609e-06
1281	CCNG1	8.69174561100504e-07	1.63138612732019e-06
9191	TOB2	9.05600586573826e-07	1.6994419419324e-06
5005	MAP3K8	9.07849287940456e-07	1.70334762195099e-06
10142	ZNF862	9.09265863167253e-07	1.70569087700543e-06
6278	PBX2	9.13301480785869e-07	1.71294542109783e-06
7664	RPS6KA6	9.28232686456541e-07	1.74062877775528e-06
309	AMPD3	9.32086797496269e-07	1.74753390912819e-06
6229	PAN3	9.44013389949791e-07	1.76956849381965e-06
3664	HADHA	9.44665428751217e-07	1.7704645185494e-06
9422	TTPAL	9.46548309804232e-07	1.77366659709679e-06
740	BABAM2	9.50394948785499e-07	1.78054655874676e-06
701	ATRX	9.52617098125139e-07	1.78438109726147e-06
4538	KIF5B	9.53218761484917e-07	1.78517939259685e-06
10149	ZNRF3	9.63001509024055e-07	1.80316847990092e-06
1505	CENPC	9.63622061027153e-07	1.80399838550409e-06
223	AHR	9.68060940425179e-07	1.81197496723925e-06
7717	RTN3	9.69518110995324e-07	1.81436860617282e-06
5001	MAP3K5	9.72376138215218e-07	1.81938246350256e-06
4041	IFIT2	9.75248427654937e-07	1.82442115750895e-06
5543	MYL12A	9.82171631024837e-07	1.83703474947889e-06
4286	ISYNA1	9.90746309559783e-07	1.85273202337347e-06
1247	CCL13	1.00128784281261e-06	1.87210094191007e-06
6376	PDLIM7	1.01156849713967e-06	1.89097506824731e-06
9095	TMEM214	1.02020659474245e-06	1.90677231091585e-06
3832	HK1	1.0271753092729e-06	1.91944423608252e-06
9104	TMEM50A	1.03526971866895e-06	1.93421466446634e-06
7311	RAX2	1.03593275055021e-06	1.935098029994e-06
24	ABCB6	1.04475959870784e-06	1.95122808842571e-06
8091	SIGLEC12	1.06508425941439e-06	1.98882198440209e-06
6532	PINX1	1.06860370485536e-06	1.99502761781861e-06
4327	ITPKB	1.08110539192354e-06	2.01799727560333e-06
2628	EIF4EBP1	1.08521389204981e-06	2.02529461086455e-06
9020	TIMM22	1.09056738926369e-06	2.03491233510264e-06
5015	MAP7D1	1.10664869481922e-06	2.06440311681328e-06
4730	LEFTY2	1.10677819710013e-06	2.06440311681328e-06
5157	MED31	1.12444458171555e-06	2.09697061957695e-06
1935	CRIPT	1.12717128165669e-06	2.10167035342623e-06
7104	PTPRR	1.13107033369306e-06	2.10855387660977e-06
7221	RAD50	1.13392076553997e-06	2.1134803861924e-06
9596	UPF1	1.14719943863703e-06	2.13783841166047e-06
6663	PLXND1	1.15202576780165e-06	2.14643921901944e-06
5514	MYBBP1A	1.15353544281669e-06	2.14885846177883e-06
6664	PMAIP1	1.15532768148571e-06	2.15180309479203e-06
2397	DOK3	1.177993166123e-06	2.19361604960081e-06
7203	RABAC1	1.18966822690803e-06	2.21495147736738e-06
9832	WIPF3	1.22083564401114e-06	2.27256377063592e-06
6249	PARP11	1.22517099346224e-06	2.28021670627358e-06
641	ATN1	1.23754242779144e-06	2.30282039837613e-06
552	ARNTL2	1.23989945518902e-06	2.30678441068725e-06
9552	UCHL1	1.24404083218503e-06	2.31381317397903e-06
6351	PDE9A	1.24413231708103e-06	2.31381317397903e-06
3200	FZD6	1.24478902879627e-06	2.31461136719876e-06
1275	CCND2	1.25151205230414e-06	2.32668715425622e-06
9213	TOR1AIP2	1.26715633000864e-06	2.35534100953368e-06
4635	KRT17	1.27785095582802e-06	2.37478585561535e-06
73	ACKR2	1.28965257037769e-06	2.39628047460315e-06
7282	RARS	1.29119733519754e-06	2.39871265357278e-06
9004	THUMPD3	1.29312989661969e-06	2.40186423923902e-06
4308	ITGB1BP2	1.30108555837008e-06	2.41619996080665e-06
2596	EIF1B	1.30901205150769e-06	2.4304762912918e-06
9011	TIE1	1.30963938290189e-06	2.43119734347827e-06
7713	RTL8A	1.32079968706504e-06	2.4514678373495e-06
2988	FBXO4	1.33270345676762e-06	2.47311059206438e-06
8152	SLC16A3	1.33879938404016e-06	2.48396974901342e-06
1968	CSF2RA	1.35857383545405e-06	2.52019905690629e-06
4914	LY96	1.3782836968996e-06	2.55629535981032e-06
3265	GAR1	1.38039510522614e-06	2.55974469658504e-06
4426	KCNIP3	1.38806063109991e-06	2.57349021326397e-06
6652	PLSCR3	1.40915559984849e-06	2.61212462049174e-06
1926	CRELD1	1.41111759606614e-06	2.61528498902913e-06
5746	NEIL1	1.41706001221191e-06	2.625819946126e-06
6516	PIK3C3	1.41816265567236e-06	2.62738457405845e-06
5580	MYOM1	1.46022631014814e-06	2.70482196888876e-06
5475	MTMR6	1.46876226131519e-06	2.71997567155369e-06
4907	LUZP1	1.46894193841698e-06	2.71997567155369e-06
2445	DSPP	1.47605586814329e-06	2.73265083650986e-06
9731	VPS13A	1.51706411189765e-06	2.8080591721861e-06
10	AARS	1.5302822739137e-06	2.83201047344443e-06
7064	PTHLH	1.54296009683243e-06	2.85495326756571e-06
7335	RBM3	1.55641062595869e-06	2.87931720274191e-06
8389	SOCS1	1.56132411315225e-06	2.8878818551087e-06
225	AHSA1	1.573022517045e-06	2.90899074093778e-06
1758	CNOT4	1.57540804872922e-06	2.91287278802661e-06
7613	RPL37	1.57694954918595e-06	2.9151931244537e-06
10088	ZNF439	1.57783869712815e-06	2.91630687970288e-06
6374	PDLIM4	1.5856247533173e-06	2.93016541607573e-06
2294	DKC1	1.58774247441093e-06	2.93354598477704e-06
10078	ZNF395	1.60000714556581e-06	2.95566963716016e-06
4977	MAP1A	1.62326721924599e-06	2.99809321375989e-06
4306	ITGB1	1.62374678589417e-06	2.99843457122915e-06
483	ARHGAP29	1.62920366005604e-06	3.00796530558078e-06
7995	SF1	1.62984513902986e-06	3.00860362898762e-06
7526	RNF146	1.63743187764847e-06	3.02205995851196e-06
531	ARL2BP	1.67309166938307e-06	3.08731390397859e-06
6872	PRDM16	1.67651874680404e-06	3.09307675212867e-06
5876	NOB1	1.68925639349637e-06	3.11601183881025e-06
4816	LOC151484	1.69214827212338e-06	3.12078034305858e-06
3874	HNRNPF	1.7142243533654e-06	3.16092157817404e-06
1754	CNOT1	1.71885855745796e-06	3.16889237133379e-06
3544	GRIA1	1.72349527082816e-06	3.17686490127466e-06
6996	PSMA7	1.74289790433588e-06	3.21204717043639e-06
5471	MTMR12	1.75764615016999e-06	3.23864051542824e-06
3857	HMGN3	1.76208342549673e-06	3.24622866490008e-06
4111	IL11	1.7705895444931e-06	3.26130860693976e-06
5394	MRPS10	1.77098993600497e-06	3.26145557910547e-06
499	ARHGEF15	1.7720304173401e-06	3.26278107431689e-06
4930	MAD1L1	1.77737733915572e-06	3.27203396149676e-06
6607	PLCL2	1.77825181571882e-06	3.27305151462051e-06
7864	SCUBE3	1.78391338898487e-06	3.28287823917206e-06
4489	KHDRBS1	1.78510952513044e-06	3.28448529556013e-06
1197	CC2D1A	1.80217446124752e-06	3.31528404959693e-06
4378	KATNA1	1.80675468704698e-06	3.32310891906146e-06
10023	ZMYND8	1.81795460519776e-06	3.34310415738916e-06
8321	SMURF2	1.87035285193789e-06	3.43883961011461e-06
7518	RNF128	1.87422300726973e-06	3.44533260805113e-06
402	APBA1	1.87764355183401e-06	3.45099690204288e-06
6914	PRKCSH	1.88450977341343e-06	3.46299095464864e-06
3108	FMNL3	1.89143632503449e-06	3.47509151789341e-06
10035	ZNF165	1.89684851861202e-06	3.48440591907549e-06
9280	TRERF1	1.899470869132e-06	3.48859309472465e-06
6358	PDHA1	1.91509978195828e-06	3.51666246965011e-06
7839	SCN11A	1.91580065146167e-06	3.51731456908853e-06
882	BNIP1	1.91656206540863e-06	3.51807756972247e-06
1129	CAPZA3	1.91992219362895e-06	3.52360968352648e-06
8876	TCF7L2	1.92137058917212e-06	3.52563185491486e-06
5633	NASP	1.92772860487184e-06	3.53666061268913e-06
3820	HIST1H4L	1.94950817987416e-06	3.57597308219614e-06
572	ASB12	1.98283120088899e-06	3.63644164532967e-06
476	ARHGAP17	1.98482811217769e-06	3.6394477983388e-06
5090	MCAT	1.98864054294727e-06	3.645781265706e-06
5920	NPBWR2	2.00011091738738e-06	3.66614925451925e-06
4473	KDM1A	2.00475953816812e-06	3.67400806733638e-06
3388	GLP1R	2.03923518981906e-06	3.73651649604274e-06
616	ATCAY	2.04365130382228e-06	3.74393385805584e-06
6574	PKP2	2.0470474652663e-06	3.74948035004574e-06
5708	NDUFAF7	2.06793092248988e-06	3.78704973438156e-06
3059	FGFR1OP	2.0692583788196e-06	3.78879868389701e-06
5889	NOLC1	2.10874915821788e-06	3.86041122666016e-06
2203	DDX21	2.17705237348181e-06	3.98473440004146e-06
9484	UBA5	2.19220462051736e-06	4.01174628611676e-06
6783	PPIA	2.1975450649184e-06	4.020796033348e-06
4404	KCNC3	2.20775418818292e-06	4.03874903009977e-06
6946	PRPF18	2.21152131379212e-06	4.04491303941159e-06
3272	GAST	2.21346012162564e-06	4.04773140702816e-06
847	BIRC6	2.24225273933956e-06	4.09964721734389e-06
8643	STOML2	2.2489043609194e-06	4.11106991260253e-06
3255	GALNT5	2.26260368708856e-06	4.13536962068845e-06
6069	NUP35	2.31570659277093e-06	4.2316657388645e-06
1876	CPA4	2.31692507835339e-06	4.23313197235795e-06
3983	HTR1A	2.31799332295991e-06	4.23432323118534e-06
6947	PRPF19	2.33315304195467e-06	4.26125060965976e-06
5164	MEF2C	2.34092296712201e-06	4.27467408805102e-06
1310	CCT7	2.3805853968676e-06	4.34632003631264e-06
7653	RPS3	2.38752198674958e-06	4.35820225573363e-06
9271	TRAPPC6A	2.40245973334333e-06	4.38468296865836e-06
1569	CGN	2.40931611229184e-06	4.39640767898562e-06
5537	MYH6	2.41630484291002e-06	4.40836964973524e-06
8107	SIPA1	2.47620797249976e-06	4.51684843181641e-06
8734	SYNM	2.49208178672891e-06	4.54498888784389e-06
2171	DCP1B	2.4967381943171e-06	4.55266493113243e-06
5767	NEU4	2.51451392196581e-06	4.58425629536885e-06
924	BSCL2	2.5167565672147e-06	4.58752276622024e-06
2779	ERGIC3	2.54855689386097e-06	4.64465590850012e-06
2652	ELL	2.56025114747778e-06	4.66513253148692e-06
9856	WNT7B	2.56286736753281e-06	4.66906334704715e-06
5215	MGP	2.59109088029872e-06	4.71963608330865e-06
6565	PKIG	2.62683950744216e-06	4.78389515023435e-06
6619	PLEKHB2	2.64878784806401e-06	4.82300318209329e-06
1404	CDC5L	2.66126346017148e-06	4.84485203656487e-06
9921	YWHAB	2.66396067974274e-06	4.84889461353067e-06
538	ARL6IP1	2.68992874295077e-06	4.89528534920183e-06
9347	TRPC5	2.70074676057974e-06	4.9140935065959e-06
6336	PDCD7	2.72752037810389e-06	4.96192146038106e-06
6855	PPP6R2	2.73306017015299e-06	4.97111051510216e-06
5905	NOTCH2NLA	2.75769710359304e-06	5.01502549782839e-06
7546	RNF7	2.88172429351294e-06	5.23963918461254e-06
5737	NECTIN3	2.89956614206313e-06	5.27113766318946e-06
747	BAG3	2.91100617122677e-06	5.29098906197783e-06
7879	SDK1	2.92626433914274e-06	5.31777190462649e-06
588	ASCC2	2.92811028179099e-06	5.32017608441859e-06
605	ASMTL	2.93424419514547e-06	5.33036896378836e-06
8518	SREBF1	2.94225090320683e-06	5.3439597283205e-06
6550	PITX1	2.94291695696712e-06	5.34421531653455e-06
7410	RFLNB	2.95843211102444e-06	5.37143135203492e-06
7230	RAD54L2	2.96160959862089e-06	5.37624097908107e-06
1936	CRISP3	2.96224648044938e-06	5.37643772446236e-06
3091	FLCN	2.96559482873841e-06	5.38155479713804e-06
5286	MMP26	3.00112203914931e-06	5.44505341613446e-06
3542	GRHL3	3.01767320674044e-06	5.47410654995907e-06
2320	DMAP1	3.0287284459037e-06	5.4931814013511e-06
503	ARHGEF2	3.03194488469788e-06	5.49717686140966e-06
5888	NOL9	3.03201212713748e-06	5.49717686140966e-06
8416	SOX17	3.05780143898579e-06	5.54294619365689e-06
1991	CSRNP2	3.09203213222688e-06	5.60399837540424e-06
9560	UCP3	3.09268821522922e-06	5.60418902984091e-06
4293	ITGA2B	3.10663415960207e-06	5.62845757891929e-06
9214	TOR1B	3.13394856015077e-06	5.67693352963208e-06
741	BACE1	3.1461862322536e-06	5.69808661931919e-06
7659	RPS6KA1	3.2180477904795e-06	5.82719832192025e-06
6745	POMP	3.2297823836008e-06	5.84740633357732e-06
9844	WNT10B	3.23741398301741e-06	5.86018015110964e-06
3466	GOPC	3.27090683981915e-06	5.91975365263837e-06
2532	EDAR	3.27737264278753e-06	5.93040055052963e-06
9871	WWOX	3.36234081481992e-06	6.08306831036157e-06
7830	SCGB2A1	3.37384196422979e-06	6.10279059425847e-06
5038	MAPRE2	3.3959012489671e-06	6.1416006054653e-06
2143	DAZAP2	3.39731903068908e-06	6.1430726091717e-06
5278	MMP15	3.41390836450494e-06	6.17197259500777e-06
3225	GABRA5	3.43032244741082e-06	6.20054553260666e-06
2579	EHBP1	3.47988653123562e-06	6.28901859695506e-06
6186	P2RX7	3.48769166124141e-06	6.30200484366054e-06
4029	IDH3G	3.50337616937799e-06	6.32922141201958e-06
3102	FLT3LG	3.53182473396288e-06	6.37948384563288e-06
6327	PDCD1	3.55540466833055e-06	6.42093585849932e-06
5287	MMP3	3.57888378558921e-06	6.46219111657775e-06
4651	KRT77	3.60188742087182e-06	6.5025733331906e-06
8441	SPAG8	3.64083909075654e-06	6.57172747875555e-06
7601	RPL24	3.68857382080496e-06	6.6567077308939e-06
2766	ERCC1	3.7034917768037e-06	6.68244445644273e-06
8339	SNCG	3.72168478047541e-06	6.71408038158828e-06
6665	PMCH	3.72868504522566e-06	6.72551648317033e-06
8369	SNW1	3.78899284748356e-06	6.83308353792772e-06
7363	RCN1	3.82886366769742e-06	6.90376286626831e-06
5392	MRPL58	3.84118862473933e-06	6.92475844045246e-06
5356	MRPL18	3.86345116321568e-06	6.9636585193822e-06
2685	EMILIN2	3.88673057676382e-06	7.00437735295276e-06
8193	SLC26A3	3.89381943275221e-06	7.01590950927881e-06
6231	PANK4	3.91976911067126e-06	7.06141511649703e-06
7756	S100A13	3.95610183649804e-06	7.12560622923062e-06
7708	RTCA	3.9657711548445e-06	7.14175782585115e-06
8365	SNTG1	3.97358585269188e-06	7.15456440343974e-06
4497	KIAA0319	3.99257330963927e-06	7.18747978746422e-06
644	ATP12A	4.03719274471654e-06	7.26651836376528e-06
8805	TAF9B	4.04257613619463e-06	7.2749207559717e-06
8095	SIGMAR1	4.07044595237202e-06	7.32377903669624e-06
8610	STAT5B	4.07663685675888e-06	7.33362099802088e-06
2783	ERLEC1	4.10019212039007e-06	7.37469137919523e-06
6692	PODXL2	4.15815531787537e-06	7.47762313041297e-06
1907	CR2	4.18161362523896e-06	7.51847921695933e-06
436	APOL2	4.19888221824181e-06	7.54819381625268e-06
660	ATP4B	4.22241384806861e-06	7.58915478381661e-06
226	AHSA2P	4.23539026050019e-06	7.61113321322531e-06
9867	WTAP	4.25336465230716e-06	7.64208382336997e-06
1157	CASP8	4.31299104377202e-06	7.74784705779494e-06
7270	RAPGEF1	4.31484095314585e-06	7.74980173311312e-06
311	AMT	4.33352179864105e-06	7.78198009842461e-06
2073	CXCL16	4.35206119780328e-06	7.81389314600297e-06
5136	MED11	4.39463425945014e-06	7.88893847209922e-06
9785	WDFY3	4.44126215546686e-06	7.97123498722025e-06
6015	NSMCE3	4.44286897790233e-06	7.97271231472931e-06
2125	DAB2	4.4441950868538e-06	7.97368547064616e-06
6969	PRRG2	4.45231621111077e-06	7.98684761340678e-06
1600	CHMP4A	4.51936463812172e-06	8.10569401685688e-06
1605	CHMP7	4.53466328081381e-06	8.13169919896332e-06
9798	WDR35	4.53876277961806e-06	8.13761610099656e-06
3155	FRAT2	4.54806429146522e-06	8.15285604177546e-06
1096	CAMKK1	4.56625087836054e-06	8.18401518420749e-06
2738	EPHB4	4.58670034324303e-06	8.21921835332242e-06
8486	SPOP	4.61818989883893e-06	8.27418912308709e-06
4523	KIF1C	4.62186248410173e-06	8.27931097918064e-06
4437	KCNJ6	4.69403421286922e-06	8.40711444498566e-06
5968	NR2E1	4.74143120998944e-06	8.48931106335072e-06
1728	CMAS	4.74159691948872e-06	8.48931106335072e-06
1713	CLPB	4.8610511967909e-06	8.70164945010625e-06
6876	PRDX3	4.8776578202755e-06	8.7298404302714e-06
3971	HSPB11	4.90272426728469e-06	8.7731598893733e-06
262	AKR1C1	4.9443927873675e-06	8.84616739815152e-06
7254	RAMAC	4.99108143019393e-06	8.9281293105966e-06
5557	MYO15A	4.99369382289658e-06	8.93123193746957e-06
9889	XPO4	5.02617691738799e-06	8.9877478960429e-06
477	ARHGAP18	5.04211168193585e-06	9.01465766965437e-06
9018	TIMM17A	5.07784939446248e-06	9.07695693021733e-06
2465	DUSP11	5.09040099479618e-06	9.09779503163415e-06
7905	SECISBP2L	5.10528232770463e-06	9.12229475241334e-06
2229	DEFA6	5.10590251845489e-06	9.12229475241334e-06
1235	CCDC89	5.14054780374649e-06	9.18257994864144e-06
1479	CDX4	5.14966971621723e-06	9.19725948438867e-06
3174	FTSJ1	5.16014562420146e-06	9.21435166491161e-06
6429	PFDN2	5.2207017593843e-06	9.32084924503625e-06
1657	CITED1	5.25462315713082e-06	9.37976511273764e-06
7987	SETD2	5.28902731710805e-06	9.43952191174389e-06
4348	JAM3	5.30219758433738e-06	9.4613674838562e-06
9605	UPP2	5.30323805530639e-06	9.46156449256962e-06
3373	GJB6	5.37727115682327e-06	9.59196554065634e-06
8379	SNX24	5.39868216699137e-06	9.62766834961399e-06
519	ARID4A	5.39917899680997e-06	9.62766834961399e-06
1613	CHRDL2	5.40438452604795e-06	9.63526179170799e-06
6639	PLOD2	5.41617004308149e-06	9.6545817151337e-06
9003	THSD7B	5.42106979328187e-06	9.6587814045678e-06
4734	LENG8	5.4212196164997e-06	9.6587814045678e-06
1079	CALD1	5.42137440480509e-06	9.6587814045678e-06
1435	CDK10	5.53240973203766e-06	9.85487729014518e-06
9806	WDR48	5.54191391251326e-06	9.87007882212839e-06
8172	SLC22A9	5.62638378679572e-06	1.00187646180768e-05
3852	HMGB1	5.64819239006217e-06	1.00558384991429e-05
9577	ULK1	5.65920409481046e-06	1.00736803598437e-05
6125	OPA1	5.67049404523444e-06	1.00920111830248e-05
9686	VAMP8	5.72893413498739e-06	1.0194235955086e-05
1061	CACNG3	5.73002928522914e-06	1.01944015247702e-05
845	BIRC2	5.73533726736868e-06	1.02020608534607e-05
3990	HTR2C	5.78517029307306e-06	1.02889051383623e-05
8063	SHANK3	5.78759071216253e-06	1.02914106475842e-05
6792	PPIL3	5.79311546147496e-06	1.02994343917485e-05
1059	CACNG1	5.82158409772212e-06	1.03482395642368e-05
1493	CELA2A	5.88431198464118e-06	1.04579150628502e-05
9502	UBE2E1	5.90001006444693e-06	1.0483982949453e-05
3215	GABARAPL2	5.90526698388819e-06	1.04914916219166e-05
6107	OGA	5.92148298098449e-06	1.0518464530392e-05
5306	MOCS2	5.94117205793977e-06	1.05515962544381e-05
7630	RPP38	5.97774265214607e-06	1.06146929656628e-05
9355	TRPV2	5.98304603597738e-06	1.06212189359789e-05
1131	CARD10	5.98350591979701e-06	1.06212189359789e-05
6800	PPM1J	6.04353050244429e-06	1.07258959876772e-05
6704	POLE	6.07267548830744e-06	1.07757418005497e-05
3153	FRA10AC1	6.08393666854143e-06	1.07938415990708e-05
6739	POLR3GL	6.10188612049104e-06	1.08237990416313e-05
8631	STK38	6.18502388105673e-06	1.09693598225227e-05
8766	TAB2	6.24715254250842e-06	1.10776159691369e-05
4520	KIF1A	6.26087622292705e-06	1.11000163499193e-05
8931	TF	6.37271012350353e-06	1.12963199314169e-05
7537	RNF25	6.39370787047403e-06	1.13315662310683e-05
7301	RASSF1	6.39989717116824e-06	1.13405598192466e-05
2345	DNAJA2	6.40809586186739e-06	1.13531102756491e-05
9760	VSIR	6.41316550895515e-06	1.13601136553371e-05
8357	SNRPD3	6.42297580406998e-06	1.13755105944993e-05
6796	PPM1B	6.44720276394956e-06	1.14164305861895e-05
9648	USP40	6.51259008798177e-06	1.15302086608142e-05
8555	SSBP2	6.5314107827007e-06	1.15615176426682e-05
2156	DCAF12	6.55627217027356e-06	1.16035067481199e-05
71	ACIN1	6.65260002276854e-06	1.17719429521003e-05
5816	NHLH1	6.73301042040818e-06	1.19121591316195e-05
8937	TFAP2E	6.73526188289395e-06	1.19140704459538e-05
4126	IL17F	6.78020052290214e-06	1.19914777328727e-05
1786	COG7	6.78262583839762e-06	1.19936820187761e-05
8966	TGIF2	6.78561896863605e-06	1.19968894278649e-05
7233	RADIL	6.82249920132133e-06	1.20599972849769e-05
2842	EXOSC3	6.86367280969889e-06	1.21306712114432e-05
10058	ZNF292	6.90558965521054e-06	1.22026339347676e-05
2431	DRG2	6.93580377952873e-06	1.22538957709527e-05
9423	TUB	6.94325922493737e-06	1.22649376793346e-05
1029	CA9	6.95659580932021e-06	1.2286362702815e-05
5185	MET	7.07827304278472e-06	1.249909246038e-05
6486	PI4K2A	7.14925382154267e-06	1.26222421253998e-05
3596	GSS	7.17442976161002e-06	1.26644931398332e-05
5020	MAPK13	7.19532893615336e-06	1.26991813441166e-05
4221	INSR	7.19683272363746e-06	1.26996321418151e-05
8375	SNX19	7.20448368246059e-06	1.2710928286797e-05
3341	GGN	7.20921954837686e-06	1.27170782843138e-05
4298	ITGA8	7.28206990291736e-06	1.28433594178881e-05
6881	PREP	7.50103824388714e-06	1.32272598466049e-05
8277	SMAD5	7.5361422342483e-06	1.32868587433289e-05
229	AICDA	7.53874637068958e-06	1.3289146911978e-05
1162	CAST	7.59615810206671e-06	1.33880312495365e-05
2297	DKKL1	7.61344950269501e-06	1.34161825378341e-05
7069	PTOV1	7.63619715813039e-06	1.34539372514133e-05
10059	ZNF317	7.64177317731607e-06	1.3461430048976e-05
3693	HCN1	7.6702870207352e-06	1.35093195744355e-05
2029	CTR9	7.70129507538667e-06	1.35615846982705e-05
8467	SPHK2	7.72035263724816e-06	1.35927911697344e-05
4552	KITLG	7.8091190167514e-06	1.37466980026669e-05
8751	SYT7	7.92071402017537e-06	1.39407307486581e-05
8733	SYNJ2BP	7.96055874611545e-06	1.40084352403101e-05
8904	TEAD4	8.02235899678374e-06	1.41147454296577e-05
4632	KRT1	8.05362775702498e-06	1.41673102493887e-05
5624	NAP1L1	8.05858230706359e-06	1.41735750016871e-05
4337	IVNS1ABP	8.06242490697856e-06	1.41778822089357e-05
2925	FAM57A	8.138967521217e-06	1.43073723363596e-05
