Gene1	Gene2
9001	CFL1	GRB2
9002	CFL1	YWHAG
9003	CFL1	SLC2A4
9004	CFL1	MYCBP
9005	CFL1	SSH1
9006	CFL1	ARRB1
9007	CFL1	ATP1A1
9008	CFL2	GRB2
9009	CFL2	MAP3K3
9010	CFL2	SSH1
9011	CFL2	LIMK1
9012	CFLAR	TRAF2
9013	CFLAR	IKBKB
9014	CFLAR	CASP8
9015	CFLAR	BCL2L1
9016	CFLAR	DAXX
9017	CFLAR	RAF1
9018	CFLAR	FAS
9019	CFLAR	NFKB1
9020	CFP	C3
9021	CFP	CFB
9022	CFP	MTOR
9023	CFTR	SLC9A3R2
9024	CFTR	CAPNS1
9025	CFTR	EXO1
9026	CFTR	SLC9A3R1
9027	CFTR	KPNB1
9028	CFTR	CDH1
9029	CGA	PTN
9030	CGA	FSHR
9031	CGA	TSHR
9032	CGA	FSHB
9033	CGGBP1	SUV39H2
9034	CHAD	COL2A1
9035	CHAF1A	MBD1
9036	CHAF1A	HIST1H3E
9037	CHAF1A	PIK3R1
9038	CHAF1A	CHAF1B
9039	CHAF1A	CBX5
9040	CHAF1A	BLM
9041	CHAF1A	NCK1
9042	CHAF1A	RBBP4
9043	CHAF1A	HIST1H3C
9044	CHAF1A	PLCG1
9045	CHAF1A	PCNA
9046	CHAF1B	RBBP4
9047	CHAF1B	CBX5
9048	CHAF1B	CDK2
9049	CHAF1B	CDK1
9050	CHAT	NEDD9
9051	CHAT	PRKCA
9052	CHAT	CAMK2A
9053	CHAT	PRKCE
9054	CHAT	PRKCB
9055	CHAT	PRKCG
9056	CHAT	CAMK2G
9057	CHAT	PRKCD
9058	CHCHD1	MRPL14
9059	CHCHD1	MRPL55
9060	CHCHD1	MRPL44
9061	CHCHD1	MRPS26
9062	CHCHD1	MRPL51
9063	CHCHD1	MRPL24
9064	CHCHD1	MRPL11
9065	CHCHD1	DAP3
9066	CHCHD1	MRPS22
9067	CHCHD1	MRPS23
9068	CHCHD1	MRPL36
9069	CHCHD1	MRPS33
9070	CHCHD1	MRPL1
9071	CHCHD1	MRPL40
9072	CHCHD1	MRPL32
9073	CHCHD1	MRPL23
9074	CHCHD1	MRPL53
9075	CHCHD1	MRPL49
9076	CHCHD1	MRPS12
9077	CHCHD1	MRPS28
9078	CHCHD1	MRPL41
9079	CHCHD1	MRPL48
9080	CHCHD1	MRPL42
9081	CHCHD1	MRPL3
9082	CHCHD1	MRPS35
9083	CHCHD1	MRPL13
9084	CHCHD1	MRPL18
9085	CHCHD1	MRPL54
9086	CHCHD1	MRPL43
9087	CHCHD1	MRPL17
9088	CHCHD1	MRPL20
9089	CHCHD1	MRPS10
9090	CHCHD1	PTCD3
9091	CHCHD1	MRPL28
9092	CHCHD1	MRPS2
9093	CHCHD1	MRPS27
9094	CHCHD1	MRPL27
9095	CHCHD1	MRPL35
9096	CHCHD1	MRPS17
9097	CHCHD1	MRPS25
9098	CHCHD1	MRPL12
9099	CHCHD1	MRPS31
9100	CHCHD1	MRPL52
9101	CHCHD1	MRPS5
9102	CHCHD1	MRPL16
9103	CHCHD1	MRPS9
9104	CHCHD3	IMMT
9105	CHCHD3	CCDC85B
9106	CHCHD4	GFER
9107	CHCHD6	IMMT
9108	CHD1	SAFB
9109	CHD1	NCOR1
9110	CHD1	HDAC1
9111	CHD1	ARRB1
9112	CHD2	SUMO1
9113	CHD3	BCL6
9114	CHD3	KPNB1
9115	CHD3	CASP8
9116	CHD3	TP73
9117	CHD3	HTT
9118	CHD3	RAD51
9119	CHD3	UBE2I
9120	CHD3	MAFG
9121	CHD3	SUMO1
9122	CHD3	HDAC2
9123	CHD3	VIM
9124	CHD3	BARD1
9125	CHD3	RBBP4
9126	CHD3	SLC25A6
9127	CHD3	HDAC1
9128	CHD3	SMARCA5
9129	CHD4	ANTXR1
9130	CHD4	RBBP7
9131	CHD4	EP300
9132	CHD4	HDAC5
9133	CHD4	MTA1
9134	CHD4	MYC
9135	CHD4	SIN3A
9136	CHD4	ERCC6
9137	CHD4	XRN1
9138	CHD4	MORF4L1
9139	CHD4	IKZF1
9140	CHD4	RBBP4
9141	CHD4	SMARCA4
9142	CHD4	SATB1
9143	CHD4	HDAC10
9144	CHD4	HDAC9
9145	CHD4	TRIM27
9146	CHD4	MTA2
9147	CHD4	HDAC6
9148	CHD4	ATR
9149	CHD4	HDAC1
9150	CHD4	HDAC3
9151	CHD4	HDAC8
9152	CHD4	SUV39H1
9153	CHD4	MBD3
9154	CHD4	PHF12
9155	CHD4	HDAC2
9156	CHD6	ZFYVE9
9157	CHD6	NFE2L2
9158	CHD6	DYNLL1
9159	CHD7	SETDB1
9160	CHD8	RNF2
9161	CHD8	SUMO3
9162	CHD8	RUVBL2
9163	CHD8	WDR5
9164	CHD8	RBBP5
9165	CHD8	RUVBL1
9166	CHD8	MGA
9167	CHD8	KAT8
9168	CHD8	CTNNB1
9169	CHD8	TAF1
9170	CHD8	TCERG1
9171	CHD8	SUMO1
9172	CHD9	PPARA
9173	CHD9	TBL1X
9174	CHD9	NR1I3
9175	CHD9	ESR1
9176	CHD9	NR3C1
9177	CHD9	RXRA
9178	CHEK1	TP53BP1
9179	CHEK1	XIAP
9180	CHEK1	RELA
9181	CHEK1	CDKN1A
9182	CHEK1	RAD51
9183	CHEK1	XRCC5
9184	CHEK1	MSH2
9185	CHEK1	ATM
9186	CHEK1	CSNK2A2
9187	CHEK1	WRN
9188	CHEK1	CSNK2B
9189	CHEK1	SMAD4
9190	CHEK1	EXO1
9191	CHEK1	BRCA1
9192	CHEK1	CDC25B
9193	CHEK1	BLM
9194	CHEK1	AKT1
9195	CHEK1	ATR
9196	CHERP	RBM22
9197	CHERP	SRRT
9198	CHERP	GCFC2
9199	CHERP	WBP11
9200	CHERP	SF3B1
9201	CHERP	SRSF11
9202	CHERP	PLRG1
9203	CHERP	PRPF19
9204	CHERP	U2SURP
9205	CHERP	SF3A2
9206	CHERP	SF3A3
9207	CHERP	RBM5
9208	CHERP	CPSF1
9209	CHERP	PUF60
9210	CHERP	DDX23
9211	CHERP	CSTF3
9212	CHFR	PML
9213	CHFR	GABBR1
9214	CHFR	ITGAE
9215	CHGA	SCG3
9216	CHGA	PLG
9217	CHGB	POLR2E
9218	CHGB	SAFB2
9219	CHGB	MARK3
9220	CHGB	S100A8
9221	CHGB	FGFR3
9222	CHGB	CBFB
9223	CHGB	RXRG
9224	CHGB	SLC25A6
9225	CHGB	YLPM1
9226	CHGB	ACACA
9227	CHIC2	U2AF2
9228	CHIC2	MDFI
9229	CHIC2	HOXA1
9230	CHIC2	OTX1
9231	CHL1	ANK1
9232	CHM	RAB5B
9233	CHM	RAB6A
9234	CHM	RAB3D
9235	CHM	RAB18
9236	CHM	RAB3A
9237	CHM	RAB4A
9238	CHMP1A	UBE2I
9239	CHMP1B	CHMP2A
9240	CHMP1B	SSRP1
9241	CHMP1B	VPS37C
9242	CHMP1B	VPS4B
9243	CHMP1B	CHMP4B
9244	CHMP1B	VPS28
9245	CHMP1B	CHMP3
9246	CHMP1B	STAMBP
9247	CHMP1B	CHMP1A
9248	CHMP1B	RAB11A
9249	CHMP1B	SNRNP200
9250	CHMP1B	VPS37A
9251	CHMP1B	TSG101
9252	CHMP2A	VPS37A
9253	CHMP2A	CHMP4B
9254	CHMP2A	UBC
9255	CHMP2A	NOL4
9256	CHMP2A	HGS
9257	CHMP2A	TSG101
9258	CHMP2A	VPS28
9259	CHMP2A	VPS4B
9260	CHMP2A	CHMP4C
9261	CHMP2B	CHMP1B
9262	CHMP2B	ATP5F1C
9263	CHMP2B	VHL
9264	CHMP2B	CHMP4B
9265	CHMP2B	CHMP3
9266	CHMP2B	PNMA1
9267	CHMP2B	CHMP4C
9268	CHMP2B	CENPF
9269	CHMP2B	CHMP2A
9270	CHMP2B	TRAF2
9271	CHMP3	VPS4B
9272	CHMP3	SMAD5
9273	CHMP3	CHMP4C
9274	CHMP3	CHMP2A
9275	CHMP3	RPS27A
9276	CHMP3	UBA52
9277	CHMP3	UBC
9278	CHMP3	VPS28
9279	CHMP3	STAMBP
9280	CHMP3	RAB11A
9281	CHMP3	CHMP4B
9282	CHMP3	VTA1
9283	CHMP3	VPS37A
9284	CHMP3	SMAD1
9285	CHMP3	IGFBP7
9286	CHMP3	TSG101
9287	CHMP4A	PDCD6IP
9288	CHMP4A	CHMP4B
9289	CHMP4A	UBE2I
9290	CHMP4A	CHMP4C
9291	CHMP4B	PDCD6IP
9292	CHMP4B	UBC
9293	CHMP4B	VPS28
9294	CHMP4B	PIAS2
9295	CHMP4B	TSG101
9296	CHMP4B	UBE2I
9297	CHMP4B	CHMP4C
9298	CHMP4B	HIPK2
9299	CHMP4B	UBA52
9300	CHMP4B	EXOSC9
9301	CHMP4C	PDCD6IP
9302	CHMP4C	UBA52
9303	CHMP4C	UBC
9304	CHMP4C	TSG101
9305	CHMP4C	VPS28
9306	CHMP5	SMARCA4
9307	CHMP5	CHMP4A
9308	CHMP5	VPS37A
9309	CHMP5	CHMP4B
9310	CHMP5	GTF3A
9311	CHMP5	CHMP2B
9312	CHMP5	CHMP4C
9313	CHMP5	VPS4B
9314	CHMP5	TSG101
9315	CHMP5	APPBP2
9316	CHMP5	VPS37C
9317	CHMP5	CHMP1B
9318	CHMP5	VPS28
9319	CHMP5	CHMP2A
9320	CHMP5	CHMP6
9321	CHMP5	CAMK2A
9322	CHMP5	VPS37B
9323	CHMP5	VTA1
9324	CHMP5	CHMP3
9325	CHMP6	CHMP4A
9326	CHMP6	CHMP4B
9327	CHMP6	CHMP2A
9328	CHMP6	VPS28
9329	CHMP6	TSG101
9330	CHMP6	SNF8
9331	CHMP6	VPS36
9332	CHMP6	CHMP1B
9333	CHMP6	VPS37C
9334	CHMP6	UBA52
9335	CHMP6	VPS37A
9336	CHMP6	RAB17
9337	CHMP6	CHMP3
9338	CHMP6	CHMP4C
9339	CHMP6	VPS4B
9340	CHMP6	UBC
9341	CHMP7	CHMP3
9342	CHMP7	CHMP4C
9343	CHMP7	VPS37C
9344	CHMP7	CHMP5
9345	CHMP7	CHMP4B
9346	CHMP7	VPS37B
9347	CHMP7	PAFAH1B3
9348	CHN1	RAC1
9349	CHN1	BMPR1B
9350	CHN2	AKT1
9351	CHP2	SLC9A2
9352	CHP2	SLC9A3
9353	CHP2	SLC9A1
9354	CHPF	EXOSC6
9355	CHPF	SKIL
9356	CHPF	SMAD9
9357	CHPF	EXOSC10
9358	CHPF	PIN1
9359	CHRAC1	BPTF
9360	CHRAC1	RBBP4
9361	CHRAC1	ERCC8
9362	CHRAC1	BAZ1A
9363	CHRAC1	POLE3
9364	CHRAC1	CECR2
9365	CHRAC1	SMARCA5
9366	CHRD	BMP2
9367	CHRD	NCK1
9368	CHRD	BMP1
9369	CHRD	ATN1
9370	CHRD	TLL1
9371	CHRD	BMP4
9372	CHRD	ABL1
9373	CHRD	TWSG1
9374	CHRDL1	BMP2
9375	CHRDL1	BMP4
9376	CHRDL2	INHBA
9377	CHRDL2	GDF5
9378	CHRDL2	BMP5
9379	CHRDL2	BMP7
9380	CHRDL2	BMP4
9381	CHRDL2	BMP2
9382	CHRFAM7A	ADCY6
9383	CHRFAM7A	FYN
9384	CHRM1	GPRASP1
9385	CHRM1	GNAI2
9386	CHRM1	GNAQ
9387	CHRM2	GRK5
9388	CHRM2	GNA11
9389	CHRM2	SAG
9390	CHRM2	GPRASP2
9391	CHRM2	GNA14
9392	CHRM2	GNG2
9393	CHRM2	GNA15
9394	CHRM2	GPRASP1
9395	CHRM3	GPRASP1
9396	CHRM3	GRK6
9397	CHRM3	GNAQ
9398	CHRM3	ARF1
9399	CHRM3	CSNK1A1
9400	CHRM3	GNA11
9401	CHRM3	GZMB
9402	CHRM3	GNA14
9403	CHRM4	GRB2
9404	CHRM5	GNA14
9405	CHRM5	GNA11
9406	CHRM5	GPRASP1
9407	CHRM5	GNAQ
9408	CHRNA3	CHRNA5
9409	CHRNA3	CHRNB4
9410	CHRNA3	UBQLN1
9411	CHRNA4	YWHAH
9412	CHRNA5	CHRNB4
9413	CHRNA6	CHRNB4
9414	CHRNA9	CHRNA2
9415	CHRNA9	CHRNA4
9416	CHRNB1	RAPSN
9417	CHRNB1	COPS6
9418	CHRNB3	CHRNB4
9419	CHRNB3	CHRNA4
9420	CHRNB3	CHRNA2
9421	CHRNB3	CHRNA6
9422	CHRNB4	CHRNA4
9423	CHRNB4	CHRNA2
9424	CHRND	CHRNA1
9425	CHRND	GRB2
9426	CHRNE	CHRNA1
9427	CHRNG	CHRNA1
9428	CHST1	SFN
9429	CHST12	UGGT1
9430	CHST15	LYN
9431	CHST15	HCK
9432	CHST4	CD34
9433	CHST9	LHCGR
9434	CHTF18	HSP90AA2P
9435	CHTF18	RFC4
9436	CHTF18	SMC1A
9437	CHTF18	PCNA
9438	CHTF18	RFC5
9439	CHTF18	RFC3
9440	CHTF18	MYC
9441	CHTF18	RAD21
9442	CHTF18	HSPA4
9443	CHTF18	HSP90AA1
9444	CHTF18	RFC2
9445	CHUK	AKT1
9446	CHUK	CASP8
9447	CHUK	BIRC2
9448	CHUK	BIRC3
9449	CIAO1	BAG6
9450	CIAO1	HDAC2
9451	CIAO1	DDX20
9452	CIAO1	FBL
9453	CIAO1	WT1
9454	CIAO1	MYO1C
9455	CIAO1	AKAP8L
9456	CIAO1	TRIM28
9457	CIAO1	EIF4G2
9458	CIAO1	MCM5
9459	CIAO1	GOLM1
9460	CIAO1	MCM3
9461	CIAO1	CDC45
9462	CIAO1	PSMB1
9463	CIAO2A	CIAO1
9464	CIAO3	MMS19
9465	CIAO3	CIAO1
9466	CIAPIN1	GLRX3
9467	CIAPIN1	NDOR1
9468	CIB1	PRKDC
9469	CIB1	ITGB3
9470	CIB1	TERT
9471	CIB1	EXOSC10
9472	CIB1	NCOA3
9473	CIB1	PLK3
9474	CIB1	PTK2
9475	CIB1	PSEN1
9476	CIB1	PSEN2
9477	CIB1	ITGA2B
9478	CIB1	PAX3
9479	CIB2	MYOD1
9480	CIC	ATXN1
9481	CIC	PICK1
9482	CIC	GABPB1
9483	CIDEC	CIDEA
9484	CIITA	NFYB
9485	CIITA	HDAC4
9486	CIITA	NCOA1
9487	CIITA	HDAC5
9488	CIITA	PRKACA
9489	CINP	CLUAP1
9490	CIP2A	MYC
9491	CIP2A	PPP2R1A
9492	CIR1	HDAC1
9493	CIR1	TCEA1
9494	CIR1	NCOR2
9495	CIR1	SNW1
9496	CIR1	RBPJ
9497	CIR1	HDAC2
9498	CIR1	SAP30
9499	CIR1	SRSF1
9500	CIRBP	PRMT1
9501	CIRBP	TLN1
9502	CISD2	IKBKE
9503	CISH	IL2RB
9504	CISH	PRKCA
9505	CISH	PRLR
9506	CISH	SMAD2
9507	CISH	KIT
9508	CISH	LCK
9509	CISH	JAK2
9510	CISH	GHR
9511	CISH	PRKCQ
9512	CISH	JAK1
9513	CISH	EPOR
9514	CIT	LLGL1
9515	CIT	RAC1
9516	CIT	DISC1
9517	CIT	DLG4
9518	CIT	PRC1
9519	CIT	RHOB
9520	CIT	RND3
9521	CIT	GRIN2D
9522	CIT	GRIN1
9523	CIT	RHOA
9524	CITED1	ESR1
9525	CITED1	EP300
9526	CITED1	SMAD4
9527	CITED1	HSPA8
9528	CITED1	CREBBP
9529	CITED1	IRF3
9530	CITED2	UXT
9531	CITED2	CREBBP
9532	CITED2	TBP
9533	CITED2	EP300
9534	CITED4	EP300
9535	CITED4	TFAP2A
9536	CITED4	TFAP2B
9537	CIZ1	CDKN1A
9538	CIZ1	PAK3
9539	CKAP2	YWHAG
9540	CKAP4	VCL
9541	CKAP4	ARRB1
9542	CKAP4	PXN
9543	CKAP4	ASCC2
9544	CKAP4	EGFR
9545	CKAP4	PLAT
9546	CKAP5	NUP107
9547	CKAP5	XPO1
9548	CKAP5	TUBG1
9549	CKAP5	TUBA4A
9550	CKAP5	SMC3
9551	CKAP5	PLCG1
9552	CKAP5	AURKA
9553	CKAP5	GRB2
9554	CKAP5	RANBP2
9555	CKAP5	RAD21
9556	CKAP5	TPX2
9557	CKAP5	CDK1
9558	CKAP5	NUP133
9559	CKAP5	ABL1
9560	CKAP5	IQCB1
9561	CKAP5	FYN
9562	CKAP5	NDC80
9563	CKAP5	MAD1L1
9564	CKAP5	TACC1
9565	CKAP5	NCK1
9566	CKAP5	MAD2L1
9567	CKAP5	PIK3R1
9568	CKAP5	PCM1
9569	CKAP5	PTPRN2
9570	CKAP5	AURKB
9571	CKAP5	PLK1
9572	CKAP5	SMC1A
9573	CKAP5	PPP1CC
9574	CKAP5	STAG1
9575	CKAP5	SRC
9576	CKM	MYOC
9577	CKM	FHL2
9578	CKM	MYOM2
9579	CKM	CKB
9580	CKMT2	OLFML3
9581	CKMT2	UNC119
9582	CKS2	CCNB1
9583	CKS2	CDK1
9584	CLASP1	PLK4
9585	CLASP1	TUBG1
9586	CLASP1	NDC80
9587	CLASP1	AURKA
9588	CLASP1	IQCB1
9589	CLASP1	SMC3
9590	CLASP1	YWHAH
9591	CLASP1	TUBA4A
9592	CLASP1	BUB1B
9593	CLASP1	YWHAG
9594	CLASP1	AURKB
9595	CLASP1	RAD21
9596	CLASP1	SNTB2
9597	CLASP1	XPO1
9598	CLASP1	MAD2L1
9599	CLASP1	PLK1
9600	CLASP1	TUBGCP3
9601	CLASP1	MAD1L1
9602	CLASP1	CLIP2
9603	CLASP1	PAFAH1B1
9604	CLASP1	CKAP5
9605	CLASP1	SMC1A
9606	CLASP1	TLN1
9607	CLASP1	MAPRE3
9608	CLASP1	STAG1
9609	CLASP2	MAPRE1
9610	CLASP2	FEZ1
9611	CLASP2	XPO1
9612	CLASP2	NDC80
9613	CLASP2	CENPK
9614	CLASP2	PAFAH1B1
9615	CLASP2	SMC1A
9616	CLASP2	CLIP1
9617	CLASP2	BUB1B
9618	CLASP2	MAPRE2
9619	CLASP2	YWHAG
9620	CLASP2	AURKB
9621	CLASP2	RAD21
9622	CLASP2	MAD2L1
9623	CLASP2	CKAP5
9624	CLASP2	CENPT
9625	CLASP2	MAD1L1
9626	CLASP2	YWHAH
9627	CLASP2	CLIP2
9628	CLASP2	PLK1
9629	CLASP2	SMC3
9630	CLASP2	STAG1
9631	CLASP2	KIF2B
9632	CLASRP	VDR
9633	CLASRP	SMAD3
9634	CLCA1	CFTR
9635	CLCA2	ALB
9636	CLCA2	ITGB4
9637	CLCF1	CNTFR
9638	CLCN3	GOPC
9639	CLCN3	SLC9A3R1
9640	CLCN5	WWP2
9641	CLCN5	CFL1
9642	CLCN5	WWP1
9643	CLCN5	MAGI1
9644	CLCN7	PACS1
9645	CLCN7	OSTM1
9646	CLDN1	CLDN3
9647	CLDN1	TJP1
9648	CLDN1	MMP2
9649	CLDN1	MPDZ
9650	CLDN1	MMP14
9651	CLDN11	TSPAN4
9652	CLDN12	STRN4
9653	CLDN16	TJP1
9654	CLDN2	TJP1
9655	CLDN3	TJP1
9656	CLDN3	PRKACA
9657	CLDN4	TJP1
9658	CLDN5	CLDN3
9659	CLDN5	LNX1
9660	CLDN5	CLDN1
9661	CLDN5	TJP1
9662	CLDN5	MPDZ
9663	CLDN6	TJP1
9664	CLDN8	TJP1
9665	CLEC11A	KITLG
9666	CLEC1B	NINL
9667	CLEC2L	EXT2
9668	CLEC2L	FIBP
9669	CLEC3B	SOS1
9670	CLEC3B	PLG
9671	CLEC3B	IL6
9672	CLEC3B	PLAT
9673	CLEC3B	HGF
9674	CLEC4A	PTPN6
9675	CLEC4F	ATXN1
9676	CLEC4M	MME
9677	CLEC4M	AP2M1
9678	CLEC4M	ICAM3
9679	CLEC5A	TYROBP
9680	CLGN	ADAM2
9681	CLIC1	ARRB2
9682	CLIC2	TRAPPC2
9683	CLIC3	DNM1
9684	CLIC3	MAPK15
9685	CLIC4	MCC
9686	CLIC4	DNM1
9687	CLIC4	YWHAZ
9688	CLIC5	IQGAP1
9689	CLIC5	GSN
9690	CLIC5	ACTA1
9691	CLIC6	DRD3
9692	CLIC6	DRD2
9693	CLIC6	DRD4
9694	CLINT1	DNM1
9695	CLINT1	AP2B1
9696	CLINT1	CLTC
9697	CLINT1	AP1B1
9698	CLINT1	EPS15
9699	CLINT1	CFTR
9700	CLINT1	GGA2
9701	CLINT1	YWHAG
9702	CLINT1	AP2A1
9703	CLINT1	AP1G1
9704	CLIP1	RAD21
9705	CLIP1	DCTN2
9706	CLIP1	CLASP1
9707	CLIP1	NDEL1
9708	CLIP1	CKAP5
9709	CLIP1	PAFAH1B1
9710	CLIP1	MTOR
9711	CLIP1	NDE1
9712	CLIP1	BUB1
9713	CLIP1	MAPRE2
9714	CLIP1	IQGAP1
9715	CLIP1	DCTN1
9716	CLIP2	DYNLL1
9717	CLK2	YWHAG
9718	CLK3	CLK2
9719	CLK3	SUMO3
9720	CLK3	YWHAG
9721	CLNK	LCP2
9722	CLNS1A	EIF4A2
9723	CLNS1A	ARRB2
9724	CLNS1A	SNRPE
9725	CLNS1A	SNRPF
9726	CLNS1A	EPB41L3
9727	CLNS1A	SNRPD3
9728	CLNS1A	ITGA2B
9729	CLNS1A	SNRPD2
9730	CLOCK	CRY1
9731	CLOCK	CSNK1E
9732	CLOCK	EP300
9733	CLOCK	ARNTL
9734	CLOCK	PER1
9735	CLOCK	CSNK1D
9736	CLOCK	PER2
9737	CLOCK	PER3
9738	CLP1	CPSF4
9739	CLP1	CDC5L
9740	CLP1	NCBP1
9741	CLP1	DDX39A
9742	CLP1	SF3A3
9743	CLP1	SNW1
9744	CLP1	SF3B2
9745	CLP1	PABPN1
9746	CLP1	HSPA8
9747	CLP1	SF3A1
9748	CLP1	SNRPB2
9749	CLP1	PRPF6
9750	CLP1	NCBP2
9751	CLP1	POLDIP3
9752	CLP1	PAPOLA
9753	CLP1	TSEN15
9754	CLP1	POLR2C
9755	CLP1	XAB2
9756	CLP1	POLR2E
9757	CLP1	SF3B1
9758	CLP1	NUDT21
9759	CLP1	SF3B3
9760	CLP1	ALYREF
9761	CLP1	SRRT
9762	CLP1	EFTUD2
9763	CLP1	DHX15
9764	CLP1	CPSF1
9765	CLP1	PRCC
9766	CLP1	CSTF2
9767	CLP1	SNRPN
9768	CLP1	SNRPD1
9769	CLP1	THOC5
9770	CLP1	SRSF11
9771	CLP1	CSTF1
9772	CLPB	SMAD9
9773	CLPB	TTF2
9774	CLPP	CLPX
9775	CLPS	PNLIP
9776	CLPS	PNLIPRP2
9777	CLPS	LIPF
9778	CLSPN	CDC7
9779	CLSPN	ORC2
9780	CLSPN	TOPBP1
9781	CLSPN	ORC6
9782	CLSPN	MCM4
9783	CLSPN	MCM6
9784	CLSPN	ATR
9785	CLSPN	CDK2
9786	CLSPN	BARD1
9787	CLSPN	BRCA1
9788	CLSPN	RAD17
9789	CLSPN	RAD9A
9790	CLSPN	CHEK1
9791	CLSPN	CDC45
9792	CLSPN	BLM
9793	CLSPN	EXO1
9794	CLSPN	MCM2
9795	CLSPN	BRIP1
9796	CLSPN	RFC5
9797	CLSPN	ORC1
9798	CLSPN	NBN
9799	CLSPN	DBF4
9800	CLSPN	CDC6
9801	CLSPN	ORC5
9802	CLSPN	MCM7
9803	CLSPN	TIMELESS
9804	CLSPN	MCM10
9805	CLSPN	RFC4
9806	CLSPN	WRN
9807	CLSPN	MCM3
9808	CLSPN	CASP7
9809	CLSPN	MCM5
9810	CLSPN	ORC3
9811	CLSTN1	APP
9812	CLSTN1	PRNP
9813	CLSTN1	PSEN1
9814	CLSTN1	HRAS
9815	CLSTN1	PIK3R1
9816	CLSTN3	APBA2
9817	CLTB	VAMP4
9818	CLTB	CLTC
9819	CLTB	CALM1
9820	CLTB	PQBP1
9821	CLTB	ARPC2
9822	CLTB	EPS15
9823	CLTB	ITSN1
9824	CLTB	CSNK2A1
9825	CLTB	ARRB1
9826	CLTB	ACTR2
9827	CLTB	VAMP8
9828	CLTB	SNAP91
9829	CLTB	ITSN2
9830	CLTB	CLTCL1
9831	CLTB	AP2M1
9832	CLTB	HIP1
9833	CLTB	AP2B1
9834	CLTB	SYNJ2
9835	CLTB	BIN1
9836	CLTB	ARRB2
9837	CLTB	AP1B1
9838	CLTB	EPN1
9839	CLTB	ARPC5
9840	CLTB	VAMP2
9841	CLTB	AMPH
9842	CLTB	DNM1
9843	CLTB	VAMP3
9844	CLTB	CSNK2A2
9845	CLTB	GAK
9846	CLTB	ARFGAP1
9847	CLTB	PICALM
9848	CLTB	DNM2
9849	CLTB	WASL
9850	CLTC	TRADD
9851	CLTC	HIP1
9852	CLTC	NFKBIA
9853	CLTC	AP2M1
9854	CLTC	AP1G1
9855	CLTC	IKBKG
9856	CLTC	AP2S1
9857	CLTC	EPS15
9858	CLTC	AMPH
9859	CLTC	EPHB1
9860	CLTC	AP2A1
9861	CLTC	CHUK
9862	CLTC	HGS
9863	CLTC	ARRB1
9864	CLTC	ARRB2
9865	CLTC	TRAF2
9866	CLTC	AP2B1
9867	CLTC	RELA
9868	CLTC	MAP3K7
9869	CLTC	IKBKB
9870	CLTC	TANK
9871	CLTCL1	AP2M1
9872	CLTCL1	OCRL
9873	CLTCL1	EPHB2
9874	CLTCL1	WASL
9875	CLTCL1	AP2A2
9876	CLTCL1	EPHB3
9877	CLTCL1	DNM1
9878	CLTCL1	VAMP7
9879	CLTCL1	AP2B1
9880	CLTCL1	VAMP2
9881	CLTCL1	EPN1
9882	CLTCL1	EPS15
9883	CLTCL1	ITSN2
9884	CLTCL1	CFTR
9885	CLTCL1	EPHB1
9886	CLTCL1	UBA52
9887	CLTCL1	GAK
9888	CLTCL1	ITSN1
9889	CLTCL1	EGFR
9890	CLTCL1	DNM2
9891	CLTCL1	ACTR2
9892	CLTCL1	ARRB1
9893	CLTCL1	HSPA8
9894	CLTCL1	UBC
9895	CLTCL1	AP2S1
9896	CLTCL1	EPHB6
9897	CLTCL1	AP2A1
9898	CLTCL1	ARRB2
9899	CLU	BAX
9900	CLU	APP
9901	CLUAP1	IFT88
9902	CLUAP1	KIFAP3
9903	CLUAP1	CLU
9904	CLUAP1	IFT140
9905	CLUAP1	MAGEA11
9906	CLUH	CELSR3
9907	CLYBL	GRB2
9908	CLYBL	SH3KBP1
9909	CLYBL	SPNS1
9910	CLYBL	LAT
9911	CLYBL	ORC3
9912	CMA1	EDN3
9913	CMA1	PFN1
9914	CMA1	MMP1
9915	CMA1	SERPINA3
9916	CMA1	EDN1
9917	CMA1	AGT
9918	CMA1	KITLG
9919	CMAS	SIGLEC12
9920	CMBL	ARRB1
9921	CMBL	CD2BP2
9922	CMBL	EIF4A2
9923	CMBL	CUL2
9924	CMBL	ATIC
9925	CMIP	FLNA
9926	CMPK1	MCC
9927	CMPK1	BACE1
9928	CMSS1	MED29
9929	CMTM3	BTK
9930	CMTM3	BLNK
9931	CMTM3	MAPK1
9932	CMYA5	PSMC4
9933	CMYA5	DTNBP1
9934	CNBP	RARA
9935	CNBP	RPS19
9936	CNBP	HNRNPC
9937	CNBP	NPM1
9938	CNBP	RPS3A
9939	CNBP	MCC
9940	CNBP	RPL24
9941	CNBP	DHX9
9942	CNBP	RPL23A
9943	CNBP	MAGOH
9944	CNBP	RPL35A
9945	CNDP2	CNDP1
9946	CNGA1	SLC24A1
9947	CNGA1	CNGB1
9948	CNGA2	CALM1
9949	CNGA2	SLC9A3R1
9950	CNGA2	CNGB1
9951	CNGA3	ARRB1
9952	CNGA4	CNGA2
9953	CNGA4	CNGB1
9954	CNGB1	ABCA4
9955	CNGB1	PNN
9956	CNGB3	CNGA3
9957	CNIH2	SEC22C
9958	CNIH2	SEC23A
9959	CNIH2	YKT6
9960	CNIH3	YKT6
9961	CNIH3	SEC22C
9962	CNIH3	SEC23A
9963	CNKSR1	SMAD4
9964	CNKSR1	MAP2K7
